S,0
T,0.5121231,0.5206528
T,0.9802094,6.088943
T,0.5211334,9.882248
T,0.2370453,10.96581
T,0.3637848,11.66151
T,0.2931824,12.3521
T,0.3553009,12.99966
T,0.5236206,15.78365
T,0.4916992,16.56929
T,0.3497162,17.13843
T,1.528259,18.90018
T,0.4293518,19.76759
T,0.3425751,20.14667
T,0.4014587,20.76276
T,0.5554504,23.17899
T,0.8881531,31.98315
T,0.7042542,33.1844
T,0.3035583,33.8638
T,0.2731171,34.32439
T,0.1840668,34.66592
T,0.2731171,35.2511
T,0.3244934,36.05046
T,0.2927551,36.54338
T,0.7003784,37.54887
T,0.2622681,37.81589
T,0.1274414,37.95627
CR,1.257889,39.84163
T,1.612793,43.46771
T,1.657288,46.73091
CR,1.521622,48.82332
T,2.337097,53.83961
T,1.41478,55.28488
T,2.210068,57.52846
T,0.1248474,57.73035
T,1.968704,60.91719
T,0.3596802,61.3571
T,0.1126251,61.64258
T,0.1593018,61.80852
T,1.662674,64.44147
S,1
T,0.669754,65.16248
T,0.3082123,65.52235
T,0.4897461,71.80115
T,0.3460388,72.32281
T,0.4008942,72.93657
T,0.3748322,73.6814
T,0.344986,74.21664
T,0.3116913,74.71796
T,0.3721924,75.29294
R,1.094009,78.65907
CR,1.360306,80.74451
CR,1.393326,85.20421
T,0.04754639,86.88278
T,0.03964233,87.03995
T,0.4131317,87.46033
T,1.260529,88.87056
T,2.080185,91.17511
T,0.4756317,92.45673
T,1.508575,94.01224
T,1.845047,98.35123
S,2
RUNTIME,101.222
