S,0
T,0.2199936,0.2244797
T,0.1102219,0.4444885
CR,2.60437,10.2428
T,1.014755,12.57809
R,2.552109,16.37163
R,0.9601898,20.3866
R,1.349106,22.21461
R,1.036133,23.83206
T,0.7602539,26.66911
T,0.6980591,31.1825
T,0.3815613,31.82077
R,2.203522,34.59511
T,1.750961,37.2056
T,0.7567291,38.06607
T,0.359726,40.06107
T,0.1548157,40.2289
T,1.109711,42.06296
T,0.9472198,43.18887
S,1
T,0.5892334,44.91676
T,0.09378052,45.02029
CR,1.873535,51.50493
R,1.278748,54.09784
T,0.5826569,59.93204
T,0.3641968,60.4348
T,0.3526611,60.86864
T,0.2898102,61.39345
R,0.9221039,65.42725
R,1.148682,70.04089
R,1.380219,77.5683
T,1.487305,79.50752
R,3.553238,83.38811
R,1.426498,86.38582
S,2
RUNTIME,90.30121
