S,0
CR,4.377106,8.604523
R,1.324707,18.95575
T,0.8296814,20.67038
T,1.067825,21.92752
T,0.6824188,22.64803
T,0.4939575,23.23444
T,0.4716339,23.92165
T,0.9252777,25.31641
T,0.4116974,25.87752
T,0.453186,26.41969
T,0.4521027,26.97141
T,0.1700592,28.28275
T,0.009521484,28.29701
T,0.006011963,28.30885
T,0.0176239,28.33952
T,0.002456665,28.34674
T,0.01194763,28.36816
T,0.00239563,28.37643
T,0.005828857,28.39772
T,0.002349854,28.40479
T,0.0118866,28.42981
T,0.01225281,28.44681
T,0.007171631,28.46001
T,0.01283264,28.48233
T,0.008102417,28.49638
T,0.01185608,28.52957
T,0.01838684,28.55151
T,0.01689148,28.58272
T,0.02104187,28.60376
T,0.01164246,28.63074
T,0.004577637,28.75803
T,0.01306152,28.80127
T,0.004638672,28.82916
T,0.005996704,29.37607
T,0.02052307,29.48898
T,0.01344299,29.50864
T,0.01116943,29.54449
T,0.01219177,29.62813
T,0.01109314,29.64775
T,0.01095581,29.6808
T,0.01222229,29.7014
T,0.01068115,30.09486
T,0.007263184,30.10686
T,0.01174927,30.12935
T,0.002319336,30.20583
T,0.01095581,30.22859
T,0.01303101,30.24625
T,0.006149292,30.25832
T,0.01174927,30.28282
T,0.02009583,30.30869
T,0.006988525,30.33095
T,0.005859375,30.34496
T,0.01193237,30.3652
T,0.1486206,30.51962
R,2.62825,34.38589
R,4.598099,39.69955
T,1.306442,41.77792
T,1.741409,43.69064
T,0.9255066,45.32176
R,1.645309,48.26756
R,0.9541016,49.77303
R,0.8342438,51.07878
R,1.532166,53.46703
R,1.887375,56.14163
R,1.403702,58.43922
R,3.623047,76.78514
T,0.09931946,78.52681
T,0.0123291,78.56029
T,0.005142212,78.6257
T,0.007354736,78.65436
T,0.01165771,78.67741
T,0.005142212,78.70659
T,0.01121521,78.81305
T,0.007354736,78.82533
T,0.01115417,78.84766
T,0.02340698,78.87727
T,0.005203247,78.88905
T,0.01109314,78.91275
T,0.01094055,78.92865
T,0.01751709,78.94876
T,0.01403809,78.96762
T,0.003662109,78.97498
T,0.01727295,79.00838
T,0.01615906,79.02962
T,0.0145874,79.04765
T,0.002578735,79.05542
T,0.004974365,79.10709
T,0.02108765,79.14055
T,0.02882385,79.18045
T,0.01100159,79.19753
T,0.01225281,79.21353
T,0.02072144,79.23785
T,0.009841919,79.2782
T,0.005859375,79.30647
R,2.203369,82.78278
T,0.6882629,83.85686
T,1.242722,85.26027
T,0.1333923,85.41209
T,3.708191,89.20808
T,0.5311432,89.88123
T,0.5629272,103.4322
T,0.5463257,107.8952
T,2.654083,111.0036
R,2.09903,113.3394
T,0.7655029,114.8343
R,2.699493,120.6539
S,1
R,0.8320007,122.7756
R,1.601593,144.5454
R,1.719421,149.8715
R,1.335876,152.4402
R,2.379486,159.1839
R,3.381714,171.3795
R,1.023621,174.9648
S,2
RUNTIME,177.441
