S,0
R,1.249939,13.06609
CR,2.209366,15.46452
CR,2.386688,18.45407
R,2.268799,22.4498
T,0.6139221,27.5249
T,0.4329529,27.99866
T,0.1457825,28.28918
T,0.4181213,28.84186
T,0.4280396,29.34497
R,7.421143,39.3157
R,5.430511,45.32883
R,2.205505,48.09921
R,0.8199158,51.09937
R,2.429871,56.71793
R,4.448761,63.61652
T,0.5298767,82.92673
T,0.9740295,84.50787
S,1
T,0.6327515,86.31747
R,1.553406,93.1124
R,3.578461,97.35623
CR,1.961884,99.92856
CR,1.442963,101.8206
R,2.018829,105.6349
CR,2.188934,110.5941
R,2.350281,116.2592
R,0.8350525,117.4391
CR,2.645264,120.5846
R,7.814575,129.6118
R,1.758728,131.8407
R,2.880524,135.1869
R,1.198425,138.5554
CR,2.088776,140.8248
CR,1.291748,142.6886
T,1.701233,149.0284
T,2.268555,151.3529
CR,1.717133,153.4439
R,3.061554,160.1963
R,2.414154,167.5182
R,1.815918,170.8305
CR,2.348724,173.3226
R,1.352417,175.2559
S,2
RUNTIME,177.0821
