S,0
T,0.6543579,37.17226
T,1.272919,38.54918
T,0.6213989,41.06236
T,1.181396,44.98552
T,0.5375061,45.55379
T,0.3876038,46.16725
T,0.3000488,46.68608
T,0.3312988,47.22295
T,0.3825989,47.81602
T,0.3387756,48.33568
T,0.4152527,49.00594
T,0.3327942,50.05049
R,2.742004,55.62172
R,4.31366,63.53712
T,0.5367432,66.50819
T,0.3574524,67.02824
T,0.3650818,67.89992
T,0.4491577,69.11732
T,0.3246765,70.27278
T,0.3488464,71.04781
T,0.3143616,71.47993
T,0.2906799,72.59105
T,0.6064148,73.51955
T,0.2756348,74.57478
T,0.2290039,75.46043
T,0.2523193,76.28429
T,0.2776184,78.1902
T,0.2671204,79.6498
T,0.2389832,80.9381
T,0.3165894,82.05748
T,0.2929077,83.46022
T,0.3185425,84.05159
T,0.2494202,84.65669
T,0.2078552,85.12291
T,0.2084045,85.58971
T,0.2575073,86.69316
T,0.1622925,87.51936
T,0.2256165,88.00636
T,0.2134705,88.57256
S,1
T,0.2679749,89.19795
T,0.1877136,91.58177
T,0.2694702,92.44539
T,0.2684326,93.11311
T,0.2810974,94.14531
T,0.3040161,94.80864
T,0.5301819,96.25587
T,0.5823669,96.91182
T,0.5342712,100.0686
T,0.4972534,100.7689
T,0.4627075,101.4129
T,0.3398438,102.0052
T,0.3338623,102.5181
T,2.825562,105.7044
T,0.4308167,106.2623
T,0.3779297,107.0725
T,0.3338623,108.0894
T,0.4807434,108.9609
T,0.01022339,111.0123
T,0.03210449,111.0736
T,0.004425049,111.1438
T,0.007324219,111.2488
T,0.004516602,111.3041
T,0.00592041,111.31
T,0.008636475,111.3759
T,0.00579834,111.4229
T,0.0123291,111.53
T,0.002990723,111.5578
T,0.001464844,111.59
T,0.006072998,111.6279
T,0.003082275,111.6599
T,0.004608154,111.6768
T,0.006134033,111.6921
T,0.012146,111.7303
T,0.01763916,111.7815
T,0.1636047,112.6485
R,2.991791,115.8106
R,1.878174,118.3382
R,1.416107,123.5154
T,0.3783875,130.1452
T,0.4040527,142.266
T,0.3468018,143.2884
T,0.4978943,144.2374
T,0.3161316,144.9036
T,0.2813721,145.5954
T,0.01785278,145.9717
T,0.00390625,145.9998
T,0.002593994,146.009
T,0.005187988,146.0256
T,0.006439209,146.0424
T,0.01138306,146.0653
T,0.007598877,146.0767
T,0.007598877,146.097
T,0.005157471,146.1073
T,0.003845215,146.124
T,0.01150513,146.1458
T,0.01275635,146.1611
T,0.006408691,146.1738
T,0.006408691,146.1892
T,0.01571655,146.2164
T,0.01040649,146.2369
T,0.01290894,146.2498
T,0.005096436,146.26
T,0.1819763,146.4523
T,0.4224854,147.107
T,0.289978,149.0913
T,0.4399109,152.0725
T,0.4598999,155.4695
T,0.5290833,156.1868
T,0.7222595,157.4642
T,0.6540833,158.298
T,0.5031128,159.0265
T,0.3552551,159.9548
T,0.3113098,164.8972
T,0.313324,165.8772
T,0.2981873,166.6198
T,0.1430359,167.3618
T,0.004333496,167.4042
T,0.00579834,167.4351
T,0.1239624,167.6525
T,0.2840576,171.7181
T,0.1949158,172.5155
T,0.3015747,173.0942
T,0.03796387,173.7369
T,0.2978821,174.8055
S,2
RUNTIME,175.3209
