T,0.6014099,128.3014
T,0.4993896,128.8454
T,0.3411255,129.2544
T,0.3543396,129.7575
T,0.9813232,131.5788
T,0.4322815,132.0778
T,0.4012756,132.6158
T,0.447998,133.3252
T,0.5739746,134.5605
T,0.5489197,135.2275
T,0.4597778,135.84
T,0.3937988,136.3769
T,0.3735046,137.489
T,1.472717,139.2564
T,0.3569031,139.9231
T,0.3214417,140.869
T,0.9143372,142.0925
T,0.435791,142.5469
T,0.6113892,143.2021
T,0.502533,143.7995
T,0.7077332,144.568
T,0.3478088,145.0464
T,0.3351135,145.5671
T,0.4713135,153.4951
T,0.6133728,154.2529
T,0.7229614,155.0383
T,0.5708008,155.6286
T,0.3833923,160.8073
T,0.5490723,163.8587
T,0.3890381,164.3971
T,0.4307556,164.9049
T,0.2798767,165.439
T,0.3773499,166.021
T,0.3580627,167.6244
T,0.447876,170.0853
T,0.638031,170.8616
T,0.5875854,171.5781
T,0.413269,172.1686
T,0.3456421,172.8008
T,0.3167419,173.3584
T,0.3360596,173.9153
T,0.322876,174.4918
T,0.4273071,174.9966
T,0.3893433,176.2137
T,0.5873108,176.8748
T,0.3563843,177.3534
T,0.379303,177.9194
T,0.4839478,178.5273
T,0.5879211,179.5248
T,0.4896545,180.0553
T,0.4603271,180.7446
T,0.4126892,186.4958
T,0.3857422,187.2422
T,0.5300293,187.8801
T,0.3916626,188.398
T,0.3934326,188.894
T,0.5760803,189.6615
S,1
T,0.3395996,190.3573
T,0.1765442,196.0216
T,0.3564453,197.5939
RUNTIME,202.0195
