S,0
T,0.01469421,0.02285767
T,0.04075623,0.07171631
T,0.00302124,0.0818634
T,0.02383423,0.1222229
T,0.0105896,0.1380768
T,0.02853394,0.1723938
T,0.03451538,0.2069092
T,0.01519775,0.227951
T,0.005844116,0.2729797
T,0.02970886,0.3200226
T,0.01223755,0.3372803
T,0.01196289,0.3551941
T,0.01751709,0.385376
T,0.4148254,44.92891
T,0.4609375,47.25316
T,0.9130249,48.4377
T,0.4180298,49.08141
R,1.36554,57.31175
R,1.960846,63.11565
R,1.600159,65.90465
T,0.6601868,68.02232
CR,1.135559,70.12498
T,1.311676,72.38655
T,0.3772583,73.95384
T,0.1213074,74.36397
T,1.835876,76.54338
T,0.6398621,78.2769
CR,1.053345,82.46107
R,1.716766,85.57011
T,0.467926,86.5833
T,0.7862549,87.80309
T,0.3484802,88.21944
S,1
T,0.6404419,89.22774
T,0.1131897,91.64751
T,0.4478455,92.1927
T,0.1212463,92.56761
T,0.3989258,93.28661
CR,1.351959,99.76915
T,0.3129578,102.4819
T,0.5041809,103.5138
CR,0.9779358,109.3263
R,0.9126892,112.4164
R,0.8542786,113.8693
T,1.153564,118.8998
CR,0.8290405,126.3645
R,0.8628235,130.2815
R,0.9907532,149.4733
R,1.167206,153.0305
T,1.092804,158.3468
T,1.636169,160.5742
T,0.006500244,162.5584
T,0.0144043,162.5874
T,0.005249023,162.6296
T,0.005218506,162.6413
T,0.003875732,162.6582
T,0.02786255,162.701
T,0.0027771,162.7093
T,0.01089478,162.7337
T,0.01504517,162.7515
T,0.006774902,162.761
T,0.01217651,162.7827
T,0.01089478,162.799
T,0.005554199,162.81
T,0.004058838,162.8609
T,0.005432129,162.8784
T,0.006713867,162.896
T,0.00680542,162.9136
T,0.00402832,162.9244
T,0.005401611,162.9594
T,0.01089478,162.9824
T,0.01303101,162.9993
T,0.007843018,163.0125
T,0.01055908,163.0296
T,0.005187988,163.0399
T,0.01287842,163.0786
T,0.007751465,163.0967
T,0.02319336,163.1251
T,0.00390625,163.142
T,0.006561279,163.3323
T,0.003997803,163.3415
T,0.005279541,163.3602
T,0.01065063,163.3829
T,0.01589966,163.4043
T,0.007904053,163.4163
T,0.01083374,163.4324
T,0.01861572,163.451
T,0.005493164,163.4619
T,0.03875732,163.5046
T,0.02270508,163.9905
T,0.01184082,164.0102
T,0.01043701,164.0469
T,0.009246826,164.0601
T,0.0163269,164.0912
T,0.002685547,164.1006
T,0.3820496,164.4877
T,0.0112915,164.6316
T,0.005767822,164.6616
T,0.007019043,164.7107
T,0.01269531,164.7276
T,0.008483887,164.7615
T,0.01248169,164.8189
T,0.01254272,164.8315
T,0.002685547,164.8438
T,0.01235962,164.878
T,0.01605225,164.9304
T,0.01751709,165.1225
T,0.01156616,165.1642
T,0.005859375,165.1744
T,0.01275635,165.1972
T,0.01293945,165.2159
T,0.00579834,165.2262
T,0.0116272,165.2493
T,0.0189209,165.4317
T,1.041595,166.6419
T,0.3616638,167.5386
T,0.5464172,168.2072
T,0.2909241,169.2207
T,0.5644226,169.8673
T,0.4315796,170.6481
T,0.1273499,170.8105
T,0.1298523,171.0243
T,0.2783508,171.3096
T,0.1017151,171.5185
T,0.4906921,172.6195
T,0.3506165,173.0377
T,0.1531067,173.2308
T,0.1517334,173.6151
T,0.1561584,173.7848
T,0.2774353,174.286
T,0.01544189,174.3479
T,0.005462646,174.4086
T,0.01623535,174.4289
T,0.01626587,174.4452
T,0.01629639,174.4615
T,0.01086426,174.4777
T,0.005554199,174.4899
T,0.01489258,174.5116
T,0.005462646,174.5213
T,0.005889893,174.5415
T,0.04812622,174.5925
T,0.01034546,174.6098
T,0.004119873,174.6208
T,0.01229858,174.659
T,0.03640747,174.7095
T,0.004180908,174.7179
T,0.01135254,174.8097
T,0.005523682,174.8206
T,0.02819824,174.8749
T,0.0173645,174.8923
T,0.01092529,174.9622
T,0.01193237,174.9781
T,0.05331421,175.0486
T,0.01794434,175.0665
T,0.001586914,175.0722
S,2
RUNTIME,175.3209
