S,0
T,2.150574,6.471962
T,0.8283997,7.731354
T,0.004928589,7.936905
T,0.006759644,7.952919
T,0.006439209,8.054131
T,0.006507874,8.120972
T,0.01045227,8.343964
T,0.01180267,8.376595
T,0.01041412,8.392143
T,0.005393982,8.420097
T,0.01013184,8.873917
T,0.006309509,8.887817
T,0.0114212,8.908043
T,0.01150513,8.925804
T,0.003669739,8.934387
T,0.03189087,8.975288
T,0.004943848,9.621155
T,0.02827454,9.6763
T,0.01089478,9.692032
T,0.00630188,9.737526
T,0.02832794,9.775757
T,0.01107788,9.793022
T,0.02741241,9.826286
T,0.02559662,9.876396
T,0.03382874,9.932373
T,0.01051331,9.959908
T,0.01184082,9.992638
T,0.005867004,10.02097
T,0.0140686,10.54356
T,0.01731873,10.56799
T,0.00579834,10.68506
T,0.01152039,10.82394
T,0.004554749,10.83414
T,0.00806427,10.8742
T,0.01763916,10.96226
T,0.0116806,11.09665
T,0.004631042,11.10717
T,0.01183319,11.12017
T,0.009506226,11.13525
T,0.01066589,11.15749
T,0.004669189,11.16788
T,0.01045227,11.25887
T,0.00579834,11.58495
T,0.006088257,11.70425
T,0.00605011,11.72105
T,0.01088715,11.74417
T,0.01093292,11.7938
T,0.004806519,11.92092
T,0.005851746,11.95467
T,0.01120758,11.99193
T,0.004814148,12.05305
T,0.01322174,12.1263
T,0.01350403,12.19277
T,0.01060486,12.59523
T,0.00478363,12.60608
T,0.005996704,12.62199
T,0.007270813,12.6352
T,0.01231384,12.65713
T,0.009628296,12.6737
T,0.01534271,12.85001
T,0.01048279,12.87316
T,0.01150513,12.89503
T,0.005844116,12.90678
T,0.005966187,12.92226
T,0.02249146,12.9565
T,0.01170349,12.97393
T,0.005783081,12.98584
T,0.01053619,13.10824
T,0.005912781,13.13563
T,0.010849,13.17498
T,0.006019592,13.23484
T,0.01077271,13.3241
T,0.007118225,13.35745
T,0.01094818,13.3764
T,0.003494263,13.38578
T,0.00592041,13.40243
T,0.01065063,13.42512
T,0.005905151,13.43578
T,0.0105896,13.45832
T,0.005905151,13.46874
T,0.00566864,13.48608
T,0.01042175,13.52459
T,0.005943298,13.5375
T,0.01208496,13.57491
T,0.006034851,13.58584
T,0.02745819,13.62653
T,0.01074982,13.64333
T,0.02877808,13.67689
T,0.01163483,13.94269
T,0.0129776,13.9604
T,0.01148987,13.97644
T,0.0117569,13.9929
T,0.01174164,14.01073
T,0.00617218,14.02052
T,0.010849,14.06002
T,0.006103516,14.12267
T,0.01699829,14.26614
T,0.006019592,14.3418
T,0.1644135,14.89608
T,0.005714417,14.93987
T,0.01154327,14.95872
T,0.01096344,14.97572
T,0.005805969,14.98635
T,0.01209259,15.01046
T,0.01087189,15.02734
T,0.0362854,15.0837
T,0.02284241,15.12434
T,0.006019592,15.13506
T,0.0120697,15.15912
T,0.01224518,15.2088
T,0.007232666,15.22215
T,0.007331848,15.24521
T,0.01105499,15.26115
T,0.006378174,15.27348
T,0.007072449,15.28534
T,0.01075745,15.30799
T,0.006057739,15.3201
T,0.006111145,15.34823
T,0.01946259,15.47658
T,0.01104736,15.51437
T,0.004890442,15.51926
T,0.005706787,15.54398
T,0.008956909,15.57204
T,0.02462769,15.60391
T,0.004798889,15.62576
T,0.008148193,15.67139
T,0.01639557,15.68778
T,0.01672363,15.70692
T,0.01309967,15.72848
T,0.01064301,15.80667
T,0.007255554,15.89576
T,0.01091766,16.07303
T,0.00718689,16.08387
T,0.01205444,16.12308
T,0.01104736,16.16258
R,0.8893738,17.03457
T,0.003822327,17.0434
