S,0
T,1.476387,3.125618
T,0.7039719,4.417274
T,0.8618469,5.633278
T,1.170593,7.068733
T,0.2992935,7.548477
T,0.2338562,7.982658
T,0.2567444,8.610016
T,0.3090591,9.138893
T,0.2333374,9.647797
T,0.3005753,10.08823
T,0.244873,10.93466
T,0.2703857,11.35912
T,0.2988434,11.79818
T,1.674812,13.80958
T,0.005851746,14.61768
T,0.00453186,14.64291
T,0.009536743,14.65953
T,0.01209259,14.6763
T,0.00604248,14.68711
T,0.00604248,14.70727
T,0.005859375,14.72015
T,0.005996704,14.74783
T,0.004989624,14.77076
T,0.006095886,14.78738
T,0.0105896,14.81213
T,0.002349854,14.82041
T,0.009346008,14.85265
T,0.02149963,14.88621
T,0.02396393,14.92075
T,0.004722595,14.93745
T,0.01322174,14.96021
T,0.02174377,14.98658
T,0.004768372,15.00336
T,0.005950928,15.0189
T,0.01208496,15.0541
T,0.008384705,15.07346
T,0.01327515,15.09034
T,0.004829407,15.1002
T,0.006164551,15.1174
R,3.474892,20.03175
T,0.9266434,21.78201
T,0.02222443,21.93941
T,0.1917038,22.91373
T,0.3402634,23.28655
T,0.7450714,25.30876
T,0.9349365,26.65018
T,1.477898,28.13908
T,0.6564255,29.35385
T,0.3899994,29.79997
T,0.2251816,30.0871
T,0.4117889,31.01487
T,0.3682632,31.46269
S,1
T,0.5276031,32.12997
T,2.561317,36.33915
T,0.5540161,37.05273
T,0.9320831,39.81585
T,0.3923874,40.3655
T,0.377388,40.82019
T,0.1857376,41.06165
T,0.4437714,41.72109
T,0.6989746,42.74065
T,0.7397003,43.70502
T,0.3367462,44.29605
T,0.2901306,44.74067
T,0.311615,45.20341
T,0.6421127,46.04971
R,2.701775,51.29954
T,0.6838531,53.13066
T,0.5489502,53.68337
R,1.32299,57.2223
T,0.8165894,58.74763
T,0.5687561,59.53821
T,0.3072968,59.87105
T,0.006195068,60.05174
T,0.004882813,60.09293
T,0.009979248,60.20149
T,0.006378174,60.24365
T,0.01994324,60.27234
T,0.1665497,60.60588
T,0.3715057,61.47307
T,2.494995,63.98656
S,2
RUNTIME,64.8412
