S,0
T,0.4962387,0.5023499
T,0.03977966,2.781937
T,0.01110077,2.80291
T,0.008880615,2.816956
T,0.01237488,2.839447
T,0.0235672,2.902664
T,0.006607056,2.938187
T,0.009864807,2.955475
T,0.01237488,2.971581
T,0.01161957,2.989311
T,0.01352692,3.021812
T,0.01159668,3.057243
T,0.03347015,3.090714
T,0.009552002,3.292137
T,0.009918213,3.307869
T,0.05705261,3.364922
T,0.004264832,3.457214
T,0.009094238,3.506104
T,0.005775452,3.548141
T,0.003463745,3.565346
T,0.006858826,3.616631
T,0.01161194,3.63987
T,0.03623962,3.912979
T,0.01107788,3.925301
T,0.01667786,3.941978
T,0.01387787,3.958389
T,0.003875732,3.966026
T,0.02126312,4.024208
T,0.01420593,4.038414
T,0.0249176,4.072289
T,0.01173401,4.084023
T,0.003837585,4.11483
T,0.01863861,4.169357
T,0.03015137,4.199509
T,0.01737976,4.216888
T,0.01109314,4.315002
T,1.197525,7.659622
T,0.7176819,8.477188
T,0.4762878,9.171448
T,0.7457886,10.07875
T,0.6901779,10.93722
T,0.687088,11.72443
T,0.8873138,13.46143
R,3.456268,17.11746
T,0.01196289,18.04595
R,1.292198,19.33309
T,2.092674,21.74438
T,0.4318542,22.22778
T,0.1767731,22.44154
T,0.9610748,25.02238
T,1.291206,26.63366
T,0.480629,27.27238
T,0.3802643,27.73573
R,0.836586,31.83485
S,1
T,0.006416321,34.26483
T,0.01189423,34.28615
T,0.01685333,34.303
T,0.006111145,34.31522
T,0.006523132,34.38253
T,0.01189423,34.39977
T,0.01085663,34.41718
T,0.01183319,34.43407
T,0.006378174,34.4482
T,0.00528717,34.46304
T,0.005264282,34.47497
T,0.0120163,34.49758
T,0.0222168,34.53052
T,0.01345825,35.13141
T,0.01451111,35.14837
T,0.01158905,35.16361
T,0.007164001,35.17565
T,0.01210022,35.19858
T,0.01822662,35.27268
T,0.003608704,35.32497
T,0.01110077,35.34805
T,0.01187134,35.36474
T,0.007011414,35.37658
T,0.004974365,35.42857
T,0.003601074,35.468
T,0.02256775,35.58665
T,0.006141663,35.66405
T,0.004943848,35.69776
T,0.008209229,35.78127
T,0.01507568,36.77863
T,0.005966187,36.80127
T,0.002403259,36.89736
T,0.005958557,36.91164
T,0.007125854,36.92467
T,0.01284027,36.94917
T,0.04006195,36.98923
T,0.004653931,36.99973
T,0.03889465,37.03862
T,0.008895874,37.06721
T,0.01654816,37.08376
T,0.00894165,37.09828
T,0.008987427,37.12612
T,0.009132385,37.17252
T,0.005760193,37.19262
T,0.005653381,37.92265
T,0.01152039,37.94576
T,0.004638672,37.95623
T,0.003440857,37.97466
T,0.01152039,37.99548
T,0.006942749,38.00698
T,0.01155853,38.09879
T,0.01145172,38.11585
T,0.01161957,38.13316
T,0.005226135,38.14491
T,0.01145172,38.18507
T,0.01708984,38.21826
T,0.01465607,38.24746
T,0.01133728,38.26447
T,0.005783081,38.27593
T,0.0120697,38.34566
T,0.02305603,38.3742
T,0.005844116,38.39227
T,0.005516052,38.42574
T,0.01123047,38.44914
T,0.008392334,38.47471
T,0.01187897,38.4994
T,0.003395081,38.50838
T,0.1021194,38.62592
T,0.2061996,39.73194
T,0.7149429,40.59737
T,0.6870117,41.37955
T,1.263428,42.69757
T,0.6329117,43.56859
T,0.9698181,44.83003
T,0.6501083,45.5591
T,0.006187439,45.62234
T,0.007553101,45.66673
T,0.00252533,45.67438
T,0.01159668,45.69616
T,0.007522583,45.77302
T,0.02418518,45.8021
T,0.02137756,45.83103
T,0.0125351,45.84727
T,0.002449036,45.85467
T,0.01150513,45.87624
T,0.0154953,45.89563
T,0.002502441,45.90441
T,0.01119995,45.92712
T,0.0114975,45.94252
T,0.006340027,45.95387
T,0.01626587,45.98131
T,0.006072998,46.05463
T,0.01216888,46.07889
T,0.01173401,46.09642
T,0.0117569,46.11407
T,0.02728271,46.14608
T,0.01191711,46.16289
T,0.03270721,46.21703
T,0.01222992,46.24646
T,0.007133484,46.29721
T,0.00592041,46.30807
T,0.00491333,46.31901
T,0.02545166,46.34808
T,0.02894592,46.39458
T,0.04086304,46.44023
T,0.01190948,46.46503
T,0.02626038,46.49593
T,0.03853607,46.53447
T,0.01704407,46.55151
T,0.02825928,46.60023
T,0.01891327,46.63461
T,0.01538849,46.65356
T,0.01785278,46.68209
T,0.01555634,46.79778
T,0.009475708,46.8131
T,0.01319122,46.8418
R,1.339142,49.486
T,0.005065918,51.32091
T,0.01270294,51.34386
T,0.006347656,51.35522
T,0.005279541,51.3722
T,0.01210022,51.39634
T,0.02480316,51.42639
T,0.01081848,51.44395
T,0.01267242,51.6097
T,0.003890991,51.6367
T,0.01190186,51.69363
T,0.01193237,51.76096
T,0.01177979,51.77665
T,0.02072144,51.79737
T,0.01345825,51.82344
T,0.00819397,51.83163
T,0.04045868,51.8783
T,0.009719849,51.89521
T,0.03878784,51.934
T,0.01715088,51.95115
T,0.00730896,51.96092
T,0.01876068,51.97968
T,0.01018524,51.99503
T,0.01169586,52.01415
T,0.01621246,52.03644
T,0.01937866,53.19018
T,0.005249023,53.25941
T,0.01880646,55.13868
T,0.00920105,55.70909
T,1.732567,58.23182
T,0.4729462,58.87967
T,0.1566086,59.12837
T,0.01127625,60.95786
T,0.01182556,60.97598
T,0.006607056,61.05606
T,0.1325226,61.75075
S,2
T,0.4964752,64.8412
RUNTIME,64.8412
