User,Task,Action,Start,Finish,Duration
0,0,T,0.0051346,0.6282349,0.6231003
0,0,T,1.603989,3.250687,1.646698
0,0,T,4.6410602,5.450867,0.8098068
0,0,T,5.7568965,6.441772,0.6848755
0,0,T,6.6522599,7.468216,0.8159561
0,0,T,7.8653107,8.564972,0.6996613
0,0,T,8.8135913,9.457619,0.6440277
0,0,T,19.747472,23.51254,3.765068
0,0,T,24.3950157,25.24123,0.8462143
0,0,T,25.9077313,26.3481,0.4403687
0,0,T,26.688217,28.1315,1.443283
0,0,T,28.667133,29.45145,0.784317
0,0,T,38.695469487,38.70287,0.007400513
0,0,T,38.718533296,38.72453,0.005996704
0,0,T,38.736766152,38.74171,0.004943848
0,0,T,38.75271667,38.75763,0.00491333
0,0,T,38.765117002,38.77119,0.006072998
0,0,T,38.786451846,38.79106,0.004608154
0,0,T,38.803067187,38.80795,0.004882813
0,0,T,38.819935552,38.82462,0.004684448
0,0,T,38.835171143,38.841,0.005828857
0,0,T,38.851536919,38.85732,0.005783081
0,0,T,38.866548804,38.8734,0.006851196
0,0,T,38.885990625,38.89185,0.005859375
0,0,T,38.896641143,38.90247,0.005828857
0,0,T,38.919209258,38.92397,0.004760742
0,0,T,38.937161704,38.94679,0.009628296
0,0,T,38.951524331,38.95746,0.005935669
0,0,T,38.96586574,38.97673,0.01086426
0,0,T,38.985062964,38.9899,0.004837036
0,0,T,38.999299404,39.00641,0.007110596
0,0,T,39.018540811,39.02321,0.004669189
0,0,T,39.03433667,39.03925,0.00491333
0,0,T,39.116687187,39.12157,0.004882813
0,0,T,39.13142514,39.14203,0.01060486
0,0,T,39.146941743,39.15303,0.006088257
0,0,T,39.167683335,39.17014,0.002456665
0,0,T,39.186127891,39.18979,0.003662109
0,0,T,39.198467891,39.20213,0.003662109
0,0,T,39.230394414,39.23662,0.006225586
0,0,T,39.251615449,39.25778,0.006164551
0,0,T,39.262654082,39.26772,0.005065918
0,0,T,39.278821558,39.2861,0.007278442
0,0,T,39.312145449,39.31831,0.006164551
0,0,T,39.328229673,39.33444,0.006210327
0,0,T,39.345733564,39.35083,0.005096436
0,0,T,39.376674644,39.38554,0.008865356
0,0,T,39.419100562,39.4229,0.003799438
0,0,T,39.48031427,39.49156,0.01124573
0,0,T,39.513683999,39.51846,0.004776001
0,0,T,39.560787168,39.56744,0.006652832
0,0,T,39.612105967,39.61824,0.006134033
0,0,T,39.663325493,39.67332,0.009994507
0,0,T,39.694347563,39.70422,0.009872437
0,0,T,39.70979746,39.72115,0.01135254
0,0,T,40.575240107,40.58113,0.005889893
0,0,CR,39.7040243,40.58113,0.8771057
0,0,T,40.5930585,40.74969,0.1566315
0,1,T,43.549848,44.60243,1.052582
0,1,T,44.8318034,45.42624,0.5944366
0,1,T,45.7279966,46.48262,0.7546234
0,1,T,46.7275676,47.39752,0.6699524
0,1,T,47.6401991,48.33011,0.6899109
0,1,T,48.815326,50.94791,2.132584
0,1,T,51.1471735,51.99396,0.8467865
0,1,T,52.329251,54.20538,1.876129
0,1,T,54.6355598,55.54654,0.9109802
0,1,T,56.198193,57.80444,1.606247
0,1,T,58.2712362,59.22311,0.9518738
0,1,CR,60.50845,62.72073,2.21228
0,1,T,66.1817342,66.81592,0.6341858
0,1,T,72.141567,74.31007,2.168503
0,1,T,74.5198659,74.8161,0.2962341
0,1,T,75.9668607,76.70267,0.7358093
0,1,T,76.7798497,76.98476,0.2049103
1,0,T,4.321388,6.471962,2.150574
1,0,T,6.9029543,7.731354,0.8283997
