S,0
T,0.02160645,64.7066
T,0.005462646,64.72318
T,0.009399414,64.74704
T,0.005310059,64.75775
T,0.01281738,64.78177
T,0.003540039,64.79083
T,0.003692627,64.81711
T,0.001861572,64.83932
T,0.001861572,64.84494
T,0.0111084,64.85791
T,0.01098633,64.87811
T,0.02783203,64.91339
T,0.003662109,64.92078
T,0.1758423,65.54572
CR,1.011688,71.28458
T,0.2677002,72.48538
T,0.3121033,72.97403
T,0.07815552,73.05219
T,0.01498413,73.06717
T,0.00189209,73.07278
T,0.005554199,73.11945
T,0.005584717,73.13443
T,0.005859375,73.17355
T,0.005950928,73.189
T,0.003814697,73.20432
T,0.005737305,73.2215
T,0.00567627,73.23685
T,0.00567627,73.25186
T,0.005645752,73.26868
T,0.005615234,73.29105
T,0.005615234,73.30612
T,0.003723145,73.33817
T,0.2409668,74.18817
T,0.005584717,74.20309
T,0.005859375,74.22052
T,0.003845215,74.23605
T,0.01733398,74.25919
T,0.01858521,74.27966
T,0.003753662,74.30576
T,0.003723145,74.32239
T,0.005584717,74.33356
T,0.005645752,74.35028
T,0.005584717,74.36523
T,0.01303101,74.39301
T,0.005554199,74.40231
T,0.005554199,74.41934
T,0.01113892,74.47321
T,0.005584717,74.51227
T,0.3675537,75.19611
T,0.5593262,75.86829
CR,0.823761,77.98276
CR,1.011505,79.22232
CR,0.8152161,84.62238
T,0.1447754,88.72784
R,1.311554,92.92871
R,2.420959,97.20236
R,2.639496,105.6676
R,1.260132,107.6822
T,0.007019043,108.7111
T,0.005310059,108.7269
T,0.006958008,108.7443
T,0.005310059,108.7601
T,0.006896973,108.7775
T,0.005310059,108.795
T,0.01055908,108.8161
T,0.005310059,108.8267
T,0.005187988,108.8441
T,0.007110596,108.8599
T,0.005310059,108.8774
T,0.012146,108.9
T,0.01248169,108.916
T,0.005279541,108.9265
T,0.005157471,108.944
T,0.005157471,108.9594
T,0.005218506,108.9768
T,0.005340576,108.9927
T,0.02105713,109.0245
T,0.02658081,109.0794
T,0.005279541,109.09
T,0.01107788,109.1117
T,0.01049805,109.1275
T,0.02435303,109.1622
T,0.03128052,109.2106
T,0.00869751,109.2331
T,0.01049805,109.2505
T,0.005126953,109.2607
T,0.0138855,109.2816
T,0.005249023,109.292
T,0.008728027,109.3146
T,0.006896973,109.325
T,0.005249023,109.3426
T,0.008758545,109.3637
T,0.0050354,109.374
T,0.01208496,109.3965
T,0.01049805,109.4156
T,0.003509521,109.4245
T,0.005310059,109.4891
T,0.01037598,109.5099
T,0.005249023,109.5257
T,0.005218506,109.5432
T,0.01052856,109.5658
T,0.02108765,109.5922
T,0.005279541,109.6079
T,0.003479004,109.6237
T,0.005157471,109.6409
T,0.01046753,109.6618
T,0.005249023,109.6758
T,0.01052856,109.6952
T,0.0123291,109.7128
T,0.005218506,109.7234
T,0.01049805,109.8435
T,0.005157471,109.8539
T,0.005279541,109.8923
T,0.005371094,109.908
T,0.006988525,109.9255
T,0.01052856,109.9466
T,0.005310059,109.9589
T,0.01016235,109.9966
T,0.006195068,110.0164
T,0.01257324,110.0452
T,0.008911133,110.06
