User,Task,Action,Start,Finish,Duration
0,0,T,0.0044861,0.2244797,0.2199936
0,0,T,0.3342666,0.4444885,0.1102219
0,0,CR,7.63843,10.2428,2.60437
0,0,T,11.563335,12.57809,1.014755
0,0,R,13.819521,16.37163,2.552109
0,0,R,19.4264102,20.3866,0.9601898
0,0,R,20.865504,22.21461,1.349106
0,0,R,22.795927,23.83206,1.036133
0,0,T,25.9088561,26.66911,0.7602539
0,0,T,30.4844409,31.1825,0.6980591
0,0,T,31.4392087,31.82077,0.3815613
0,0,R,32.391588,34.59511,2.203522
0,0,T,35.454639,37.2056,1.750961
0,0,T,37.3093409,38.06607,0.7567291
0,0,T,39.701344,40.06107,0.359726
0,0,T,40.0740843,40.2289,0.1548157
0,0,T,40.953249,42.06296,1.109711
0,0,T,42.2416502,43.18887,0.9472198
0,1,T,44.3275266,44.91676,0.5892334
0,1,T,44.92650948,45.02029,0.09378052
0,1,CR,49.631395,51.50493,1.873535
0,1,R,52.819092,54.09784,1.278748
0,1,T,59.3493831,59.93204,0.5826569
0,1,T,60.0706032,60.4348,0.3641968
0,1,T,60.5159789,60.86864,0.3526611
0,1,T,61.1036398,61.39345,0.2898102
0,1,R,64.5051461,65.42725,0.9221039
0,1,R,68.892208,70.04089,1.148682
0,1,R,76.188081,77.5683,1.380219
0,1,T,78.020215,79.50752,1.487305
0,1,R,79.834872,83.38811,3.553238
0,1,R,84.959322,86.38582,1.426498
1,0,T,3.994476,5.128174,1.133698
1,0,T,5.3080745,5.634399,0.3263245
1,0,T,5.8003692,6.017929,0.2175598
1,0,T,6.0664058,6.272552,0.2061462
1,0,T,6.3293149,6.53215,0.2028351
1,0,T,6.5588079,6.789063,0.2302551
1,0,T,6.8392491,7.04213,0.2028809
1,0,T,7.0779575,7.305817,0.2278595
1,0,T,7.3559418,7.556839,0.2008972
1,0,T,7.6162415,7.821045,0.2048035
1,0,T,7.8615109,8.103912,0.2424011
1,0,T,8.1724852,8.422653,0.2501678
1,0,T,8.4895933,8.75119,0.2615967
1,0,T,8.7913971,9.021637,0.2302399
1,0,T,9.1265567,9.325043,0.1984863
1,0,T,9.408554,9.606079,0.197525
1,0,T,9.726913,9.956039,0.229126
1,0,T,10.0519273,10.52585,0.4739227
1,0,T,10.58809,11.11934,0.53125
1,0,T,11.2567633,11.58086,0.3240967
1,0,R,13.29275,23.99397,10.70122
1,0,T,24.741042,26.04605,1.305008
1,0,T,26.4174833,27.1384,0.7209167
1,0,T,27.241856,28.3512,1.109344
1,0,T,28.4456769,28.91638,0.4707031
1,0,T,29.041576,30.12199,1.080414
1,0,T,30.546437,31.11118,0.564743
1,0,T,31.1940123,31.87106,0.6770477
1,0,T,31.9893498,32.96106,0.9717102
1,0,T,32.9885736,33.4238,0.4352264
1,0,T,33.5380427,34.10805,0.5700073
1,0,T,34.2036239,34.64384,0.4402161
1,0,T,34.6535048,35.09308,0.4395752
1,0,T,35.2205976,35.61284,0.3922424
1,0,T,36.2553098,36.66629,0.4109802
