S,0
T,0.2426682,0.2470093
T,0.1921768,0.4925385
T,0.4275208,9.6698
T,0.2962646,10.16396
T,0.3036804,10.73484
T,0.6219635,12.1204
T,0.9088287,15.69372
T,0.7917633,16.79197
T,1.77858,20.91236
T,0.5346069,24.72236
T,1.246735,27.3092
T,1.192581,31.11066
T,1.280701,38.56686
CR,3.251816,44.98139
CR,1.591141,49.40314
CR,4.492111,55.94222
T,0.1727142,56.87849
T,0.2408295,57.13026
T,0.1476593,57.33561
T,0.1310883,57.56831
T,0.6395416,68.55256
R,2.745102,73.98794
T,0.5454712,76.26267
S,1
T,1.209778,87.42951
T,0.6257782,88.47704
T,0.587204,89.38007
T,0.386734,89.77285
T,0.009811401,96.63766
T,0.02536011,96.67764
T,0.02346802,96.7011
T,0.004852295,96.71355
T,0.02081299,96.74059
T,0.004867554,96.74909
T,0.0110321,96.77224
T,0.01216125,96.78936
T,0.00617981,96.80164
T,0.002334595,96.81838
T,0.004959106,96.83671
T,0.007568359,96.84803
T,0.007369995,96.8668
T,0.009780884,96.88749
T,0.006225586,96.89991
T,0.007583618,96.91868
T,0.0124054,96.94357
T,0.0275116,96.97469
R,6.011871,102.9821
R,3.563065,107.899
R,1.65448,119.6645
R,5.037086,128.9445
T,1.836212,140.3943
T,1.422577,143.6316
T,2.033508,147.4815
T,1.505615,150.5679
T,0.8882751,152.9858
T,1.732025,163.4278
T,0.2844849,167.2944
T,0.720459,168.415
T,0.1399841,168.567
T,0.1412964,168.931
T,2.600189,172.2943
T,0.7185364,173.079
CR,3.192566,176.8224
S,2
RUNTIME,176.9274
