S,0
R,2.13768,15.29443
CR,1.154327,41.21239
R,2.091003,59.93199
T,0.5889587,69.5266
T,1.387863,70.94489
T,0.1115112,71.08578
T,0.1292725,71.26756
T,0.17836,71.46355
S,1
T,1.437424,88.52592
T,0.03952026,91.55064
T,0.004730225,91.57175
T,0.01754761,91.58929
T,0.004730225,91.59991
T,0.0202179,91.62608
T,0.008224487,91.64146
T,0.04551697,91.68965
T,0.003753662,91.70708
T,0.008666992,91.72073
T,0.01223755,91.73787
T,0.02947998,91.77357
T,0.006271362,91.78601
T,0.006088257,91.79707
T,0.005966187,91.83525
T,0.005203247,91.84706
T,0.006576538,91.86432
T,0.01289368,91.88765
T,0.006698608,91.90244
T,0.006393433,91.92166
T,0.01065063,91.93895
T,0.01048279,91.95966
T,0.002471924,92.09306
T,0.01104736,92.12137
T,0.01173401,92.13818
T,0.0125885,92.15448
T,0.01106262,92.1925
T,0.01150513,92.20401
T,0.04139709,92.24791
T,0.02592468,92.28363
T,0.01013184,92.29376
T,0.02781677,92.33687
T,0.008773804,92.34818
T,0.01260376,92.37212
T,0.0418396,92.42401
T,0.006317139,92.43669
T,0.006332397,92.44815
T,0.01147461,92.47212
T,0.0118866,93.23669
T,0.007858276,93.27573
T,0.005157471,93.30856
T,0.0120697,93.33656
T,0.005233765,93.43658
T,0.009460449,93.46983
T,0.2214203,93.81749
R,2.031647,111.3625
R,1.897217,116.0391
R,1.352982,119.5388
S,2
RUNTIME,127.8023
