S,0
R,0.9126434,3.74176
T,0.6522217,43.38235
T,0.04101563,43.54199
T,0.04058838,43.70523
T,0.03858948,43.86299
T,0.510376,50.99617
T,1.229233,52.33124
T,0.2082672,52.54536
R,6.034042,59.55072
R,1.710785,72.09549
T,2.129669,75.59863
T,0.279892,75.90033
T,0.5561066,76.59784
T,0.340271,77.12823
T,0.1206818,77.42007
T,0.1188507,77.61946
T,2.28656,79.93324
T,0.06602478,80.85933
T,0.006210327,80.8717
T,0.004898071,80.8877
T,0.01490784,80.91881
T,0.002502441,80.95143
T,0.004989624,80.97029
T,0.006317139,80.98418
T,0.008712769,81.01154
T,0.003692627,81.01891
T,0.002441406,81.03246
T,0.002471924,81.07416
T,0.01992798,81.11664
T,0.003738403,81.20027
T,0.003707886,81.21765
T,0.003799438,81.23402
T,0.006210327,81.27037
T,0.003768921,81.28676
T,0.006256104,81.3033
T,0.002670288,81.3687
T,0.002548218,81.38524
T,0.005081177,81.41743
T,0.2587585,81.85561
T,2.870438,88.56778
R,2.294739,98.091
S,1
T,0.5943298,99.48106
T,0.5366974,101.0816
T,1.188004,105.9201
T,1.734558,107.8277
T,0.6156006,108.6499
T,1.861084,110.6896
R,1.277039,112.8763
T,1.262604,114.4121
T,0.2666321,114.7801
T,0.285614,115.2541
T,0.3005676,115.6839
T,0.4332275,116.2626
T,0.4699402,116.7502
T,0.3494568,117.2882
T,0.8101807,120.2633
T,0.493927,120.7621
T,0.8670959,122.4927
T,0.03924561,122.6498
T,0.01287842,122.8161
T,0.04104614,122.9751
T,0.2069702,123.1877
T,0.3731079,123.7003
T,0.307312,124.706
T,0.7566833,125.5902
T,0.3146667,126.0107
T,0.3268127,126.4523
T,0.5602417,127.1211
T,0.4122925,127.6285
R,4.823303,133.4155
T,1.179779,150.8057
R,1.353577,152.8931
T,0.5726013,153.7842
R,3.269623,161.7526
T,1.984497,163.9588
T,0.5384521,166.8946
T,1.111847,169.1932
R,1.953369,171.4501
T,3.218079,174.9356
R,2.330688,177.5885
T,1.545715,179.4865
T,0.175415,179.702
S,2
RUNTIME,181.6608
