S,0
CR,2.874649,8.005478
CR,1.01181,9.463791
T,0.7101288,11.64786
T,0.5916748,12.41585
T,0.5408325,13.13112
T,0.6310425,13.99467
R,3.794968,20.28748
CR,1.39418,22.44112
CR,0.9411011,23.91156
CR,2.495102,26.94299
T,0.9554443,31.31369
CR,0.9176941,42.36171
R,3.768188,46.60477
CR,2.3694,51.16096
CR,1.664017,59.90555
R,2.145355,66.2937
R,2.359985,70.95932
R,0.903717,72.16574
R,1.208755,76.77284
CR,4.08252,81.52132
CR,2.144897,97.84311
T,1.179474,100.7067
T,2.393066,104.0796
T,0.1115417,104.197
R,0.9851074,107.9266
T,0.4384155,113.0595
T,1.962128,115.0711
T,0.2369995,115.3194
CR,1.098389,117.8641
CR,3.081116,122.0672
T,0.5137939,140.7148
T,0.7272644,141.4467
CR,0.9713745,142.9807
R,3.180664,150.6876
T,0.9369812,154.1592
T,0.1220398,154.3286
T,1.003418,155.4727
T,0.3312378,155.8271
T,0.1563721,156.0559
R,3.105499,160.3595
T,0.3813782,161.8987
T,0.7070007,162.752
T,0.1120605,162.9445
T,0.1721802,163.1223
T,0.326416,163.9183
T,0.1106567,164.3628
T,0.5140381,166.287
T,0.3546143,166.8751
T,0.246521,167.1337
T,0.3235779,167.9144
T,0.1390991,168.1905
T,0.1243286,170.2341
S,1
T,0.653656,178.3595
CR,0.9706421,180.7829
CR,1.637146,182.8043
T,1.631836,194.7446
R,1.017212,198.3537
R,1.77475,200.2399
R,2.200745,202.923
T,0.7887573,204.72
T,0.6549683,205.5443
T,0.4760132,206.4103
T,0.9881287,208.9409
T,1.05246,210.2964
CR,1.957245,212.5005
T,1.741364,214.75
T,0.9372559,216.981
T,1.071686,218.9751
CR,1.845062,222.5271
CR,1.955078,226.4894
R,8.772003,235.634
T,1.089813,239.3573
T,0.2644043,239.684
CR,1.069489,243.7218
CR,1.42688,245.3403
T,1.268097,248.657
T,0.4200745,249.1581
T,0.4772644,249.6741
T,0.3257751,251.8746
T,0.1538696,252.0442
T,0.3607788,255.4433
T,0.5153503,256.0972
R,2.572998,259.0112
T,0.7259521,260.0382
T,0.1673584,260.2175
CR,1.217499,261.9507
CR,0.8610535,264.6437
T,0.5801086,269.1141
S,2
RUNTIME,269.2007
