S,0
T,0.07946777,141.0128
T,0.02096558,141.0338
T,0.536377,146.6491
T,0.4847412,147.2237
T,0.4150696,149.4408
T,0.4372253,152.7368
T,0.5862122,153.3705
T,0.6790466,154.1483
T,0.6244507,155.2588
T,0.8282166,156.712
T,0.4389038,157.2404
T,0.3996582,158.6472
T,1.108368,159.8138
T,1.590424,161.9369
T,1.041138,163.4717
T,0.4905396,164.1844
T,0.2995911,164.5384
T,0.7818604,169.3672
T,0.4073792,176.1947
S,2
RUNTIME,177.0821
