User,Task,Action,Start,Finish,Duration
0,0,T,1.649231,3.125618,1.476387
0,0,T,3.7133021,4.417274,0.7039719
0,0,T,4.7714311,5.633278,0.8618469
0,0,T,5.89814,7.068733,1.170593
0,0,T,7.2491835,7.548477,0.2992935
0,0,T,7.7488018,7.982658,0.2338562
0,0,T,8.3532716,8.610016,0.2567444
0,0,T,8.8298339,9.138893,0.3090591
0,0,T,9.4144596,9.647797,0.2333374
0,0,T,9.7876547,10.08823,0.3005753
0,0,T,10.689787,10.93466,0.244873
0,0,T,11.0887343,11.35912,0.2703857
0,0,T,11.4993366,11.79818,0.2988434
0,0,T,12.134768,13.80958,1.674812
0,0,T,14.611828254,14.61768,0.005851746
0,0,T,14.63837814,14.64291,0.00453186
0,0,T,14.649993257,14.65953,0.009536743
0,0,T,14.66420741,14.6763,0.01209259
0,0,T,14.68106752,14.68711,0.00604248
0,0,T,14.70122752,14.70727,0.00604248
0,0,T,14.714290625,14.72015,0.005859375
0,0,T,14.741833296,14.74783,0.005996704
0,0,T,14.765770376,14.77076,0.004989624
0,0,T,14.781284114,14.78738,0.006095886
0,0,T,14.8015404,14.81213,0.0105896
0,0,T,14.818060146,14.82041,0.002349854
0,0,T,14.843303992,14.85265,0.009346008
0,0,T,14.86471037,14.88621,0.02149963
0,0,T,14.89678607,14.92075,0.02396393
0,0,T,14.932727405,14.93745,0.004722595
0,0,T,14.94698826,14.96021,0.01322174
0,0,T,14.96483623,14.98658,0.02174377
0,0,T,14.998591628,15.00336,0.004768372
0,0,T,15.012949072,15.0189,0.005950928
0,0,T,15.04201504,15.0541,0.01208496
0,0,T,15.065075295,15.07346,0.008384705
0,0,T,15.07706485,15.09034,0.01327515
0,0,T,15.095370593,15.1002,0.004829407
0,0,T,15.111235449,15.1174,0.006164551
0,0,R,16.556858,20.03175,3.474892
0,0,T,20.8553666,21.78201,0.9266434
0,0,T,21.91718557,21.93941,0.02222443
0,0,T,22.7220262,22.91373,0.1917038
0,0,T,22.9462866,23.28655,0.3402634
0,0,T,24.5636886,25.30876,0.7450714
0,0,T,25.7152435,26.65018,0.9349365
0,0,T,26.661182,28.13908,1.477898
0,0,T,28.6974245,29.35385,0.6564255
0,0,T,29.4099706,29.79997,0.3899994
0,0,T,29.8619184,30.0871,0.2251816
0,0,T,30.6030811,31.01487,0.4117889
0,0,T,31.0944268,31.46269,0.3682632
0,1,T,31.6023669,32.12997,0.5276031
0,1,T,33.777833,36.33915,2.561317
0,1,T,36.4987139,37.05273,0.5540161
0,1,T,38.8837669,39.81585,0.9320831
0,1,T,39.9731126,40.3655,0.3923874
0,1,T,40.442802,40.82019,0.377388
0,1,T,40.8759124,41.06165,0.1857376
0,1,T,41.2773186,41.72109,0.4437714
0,1,T,42.0416754,42.74065,0.6989746
0,1,T,42.9653197,43.70502,0.7397003
0,1,T,43.9593038,44.29605,0.3367462
0,1,T,44.4505394,44.74067,0.2901306
0,1,T,44.891795,45.20341,0.311615
0,1,T,45.4075973,46.04971,0.6421127
0,1,R,48.597765,51.29954,2.701775
0,1,T,52.4468069,53.13066,0.6838531
0,1,T,53.1344198,53.68337,0.5489502
0,1,R,55.89931,57.2223,1.32299
0,1,T,57.9310406,58.74763,0.8165894
0,1,T,58.9694539,59.53821,0.5687561
0,1,T,59.5637532,59.87105,0.3072968
0,1,T,60.045544932,60.05174,0.006195068
0,1,T,60.088047187,60.09293,0.004882813
0,1,T,60.191510752,60.20149,0.009979248
0,1,T,60.237271826,60.24365,0.006378174
0,1,T,60.25239676,60.27234,0.01994324
0,1,T,60.4393303,60.60588,0.1665497
0,1,T,61.1015643,61.47307,0.3715057
0,1,T,61.491565,63.98656,2.494995
1,0,T,0.0061112,0.5023499,0.4962387
1,0,T,2.74215734,2.781937,0.03977966
1,0,T,2.79180923,2.80291,0.01110077
1,0,T,2.808075385,2.816956,0.008880615
1,0,T,2.82707212,2.839447,0.01237488
1,0,T,2.8790968,2.902664,0.0235672
1,0,T,2.931579944,2.938187,0.006607056
1,0,T,2.945610193,2.955475,0.009864807
1,0,T,2.95920612,2.971581,0.01237488
1,0,T,2.97769143,2.989311,0.01161957
1,0,T,3.00828508,3.021812,0.01352692
1,0,T,3.04564632,3.057243,0.01159668
1,0,T,3.05724385,3.090714,0.03347015
1,0,T,3.282584998,3.292137,0.009552002
1,0,T,3.297950787,3.307869,0.009918213
1,0,T,3.30786939,3.364922,0.05705261
1,0,T,3.452949168,3.457214,0.004264832
