S,0
T,0.1555786,0.1617737
T,0.1146545,0.3682861
T,0.5630341,5.943222
T,0.317627,6.398148
T,0.3173065,6.797318
T,0.3824615,7.297226
T,0.467514,7.863754
T,0.4488525,8.394592
T,0.3959045,8.947083
T,0.2259521,9.731277
T,0.2032776,10.0603
T,0.2772675,10.36754
T,0.4299927,10.83098
T,0.4039001,11.36491
R,3.650635,15.86607
T,0.6427765,31.52849
T,0.4519196,32.13127
T,0.00579834,44.72963
T,0.008880615,44.75044
T,0.006851196,44.76297
T,0.004150391,44.77948
T,0.004150391,44.79465
T,0.005477905,44.81245
T,0.006958008,44.82768
T,0.01338196,44.84924
T,0.005554199,44.86026
T,0.02178955,44.89415
CR,2.497803,47.34219
R,4.229355,79.88689
T,1.172546,82.7589
T,1.215912,84.15523
R,1.576065,87.41031
T,1.479156,96.98984
CR,3.474365,118.1037
S,1
T,0.9789429,130.0859
T,0.09326172,136.259
T,0.219696,137.8896
T,0.8500366,138.778
RUNTIME,141.3501
