S,0
T,0.146286,0.15271
T,0.07020569,2.385117
T,0.1673737,2.682159
T,0.03823853,2.770447
T,0.00604248,2.870773
T,0.004165649,2.887115
T,0.005142212,2.904663
T,0.00617981,2.922195
T,0.006118774,2.933411
T,0.006164551,2.970215
T,0.00201416,3.803757
T,0.009017944,3.818771
T,0.02217102,3.85202
T,0.009292603,3.870361
T,0.02313232,3.901566
T,0.007019043,3.933792
T,0.007034302,3.950821
T,0.005050659,3.967926
T,0.007995605,4.001572
T,0.01527405,4.049622
T,0.006164551,4.067795
T,0.01722717,4.100128
CR,1.13147,6.045654
T,0.02700806,6.121994
T,0.00932312,6.150696
T,0.02455139,6.202057
T,0.006149292,6.272034
T,0.04037476,6.352203
T,0.00302124,6.409851
T,0.02238464,6.467178
T,0.02552795,6.492706
T,0.02667236,6.519379
T,0.01412964,6.537582
T,0.0239563,7.801147
T,0.01777649,7.836624
T,0.007736206,7.851074
T,0.009552002,7.866577
T,0.008789063,7.883545
T,0.003341675,7.904861
T,0.004455566,7.953812
T,0.006210327,7.972107
T,0.005477905,7.984177
T,0.006454468,8.003632
T,0.02307129,8.056076
T,0.00553894,8.067093
T,0.007736206,8.103363
T,0.004379272,8.137512
T,0.006591797,8.155167
T,0.1226044,8.295502
T,0.24263,9.288635
T,0.7069397,12.31558
T,0.2969971,12.63596
T,0.1477661,13.05644
T,0.04104614,13.13548
T,0.01419067,13.15643
T,0.008743286,13.18665
T,0.009506226,14.51736
T,0.004196167,14.52899
T,0.01167297,14.56505
T,0.6604309,15.23932
T,0.6804047,18.40718
T,0.02294922,18.46999
T,0.005813599,18.53368
T,0.008239746,18.54541
T,0.02508545,18.58458
T,0.01893616,18.61168
T,0.5148315,19.70647
T,1.071304,20.82823
T,0.03894043,20.90231
T,0.005004883,20.91364
T,1.569534,24.10492
T,0.01815796,24.84576
T,0.006362915,24.88022
T,1.420776,26.31235
T,0.04206848,26.35902
T,0.5835876,28.34302
T,0.0213623,28.38216
R,0.9082794,30.50108
T,0.4338379,31.12817
T,0.2853699,33.3799
T,0.3402557,34.39847
R,1.23201,37.11411
T,0.1110992,38.36153
T,0.007095337,39.56303
T,0.00378418,39.58032
T,0.002471924,39.59514
T,0.005050659,39.61246
T,0.005905151,39.63034
T,0.00592041,39.66425
T,0.004730225,39.68558
T,0.005371094,39.69875
T,0.04049683,39.75124
T,0.03030396,39.7852
T,0.00592041,39.79587
T,0.02415466,39.83208
T,0.0120697,39.85367
T,0.005874634,39.8643
T,0.009552002,39.88835
T,0.003677368,39.89807
T,0.002227783,39.91525
T,0.005630493,39.93201
T,0.02255249,39.9613
T,0.004501343,39.98291
T,0.00227356,39.99977
T,0.01473999,40.03485
T,0.005706787,40.04964
T,0.02246094,40.08458
T,0.004501343,40.09698
T,0.02748108,40.1346
T,0.005706787,40.14932
T,0.02519226,40.18288
T,0.03495789,40.22997
T,0.0349884,40.28029
T,0.02204895,40.30234
T,0.03450012,40.33684
T,0.02629089,40.36462
T,0.01670837,40.38133
T,0.003219604,40.39955
T,0.02763367,40.43271
CR,2.794235,43.22559
T,0.09724426,46.71509
T,0.1265106,47.0507
T,0.05351257,47.3116
T,0.007736206,47.52536
T,0.1363068,47.67578
T,0.0634613,47.94344
T,0.1598511,48.44666
T,0.740387,50.32605
T,0.03639221,50.43152
R,0.9302673,52.93304
T,0.6355133,55.39586
T,0.8371735,56.25859
