User,Task,Action,Start,Finish,Duration
0,0,T,2.3822023,3.043709,0.6615067
0,0,T,3.1444933,3.311989,0.1674957
0,0,T,3.69994337,3.721649,0.02170563
0,0,T,3.735190952,3.737228,0.002037048
0,0,T,3.78478223,3.804138,0.01935577
0,0,T,3.80413835,3.82502,0.02088165
0,0,T,3.82501993,3.835991,0.01097107
0,0,T,3.83599099,3.860756,0.02476501
0,0,T,3.8667224,3.878403,0.0116806
0,0,T,3.883422747,3.88842,0.004997253
0,0,T,3.9362183,3.948494,0.0122757
0,0,T,3.94849395,3.962471,0.01397705
0,0,T,3.98188066,4.028481,0.04660034
0,0,T,4.097572032,4.098602,0.001029968
0,0,T,4.11498272,4.125229,0.01024628
0,0,T,4.132179424,4.135132,0.002952576
0,0,T,4.15547166,4.163658,0.00818634
0,0,CR,3.874313,6.987953,3.11364
0,0,CR,7.488724,9.183899,1.695175
0,0,R,11.883201,14.05828,2.175079
0,0,R,14.698689,21.24001,6.541321
0,0,R,21.66434,22.83649,1.17215
0,0,R,24.498224,25.56785,1.069626
0,0,R,27.841618,28.85294,1.011322
0,0,R,29.461696,30.63293,1.171234
0,0,R,32.493174,34.64419,2.151016
0,0,T,35.733699,38.21458,2.480881
0,0,T,38.4239574,39.40554,0.9815826
0,0,T,39.4404939,39.82529,0.3847961
0,0,T,39.9722092,40.29095,0.3187408
0,0,CR,41.681433,43.96369,2.282257
0,0,R,45.991206,47.80807,1.816864
0,0,T,56.617161,58.0835,1.466339
0,0,T,58.1064825,58.21984,0.1133575
0,0,T,58.4078255,58.66222,0.2543945
0,0,T,60.9560585,61.52602,0.5699615
0,0,T,61.6081483,62.02128,0.4131317
0,0,T,62.2340894,62.40305,0.1689606
0,0,T,62.4476407,62.70733,0.2596893
0,0,T,62.869984,63.94289,1.072906
0,0,CR,64.549219,65.65391,1.104691
0,0,T,68.017371,69.29415,1.276779
0,0,T,69.5003618,69.62791,0.1275482
0,0,T,70.8504416,71.39103,0.5405884
0,0,CR,73.989783,75.8832,1.893417
0,0,T,78.3797403,78.79452,0.4147797
0,0,T,78.8330311,79.23214,0.3991089
0,0,T,79.3835178,79.75275,0.3692322
0,1,T,80.9843211,81.47895,0.4946289
0,1,T,81.5023099,81.70043,0.1981201
0,1,CR,85.611048,87.22288,1.611832
0,1,T,88.1780143,88.61762,0.4396057
0,1,T,88.742944,89.00509,0.262146
0,1,T,89.1462337,89.48092,0.3346863
0,1,T,89.49497,89.732,0.23703
0,1,T,89.8630441,90.05738,0.1943359
0,1,T,90.2574406,90.4564,0.1989594
0,1,T,90.5392277,90.72598,0.1867523
0,1,T,90.8669164,91.13747,0.2705536
0,1,T,91.2832913,91.47897,0.1956787
0,1,T,91.5771279,91.80337,0.2262421
0,1,T,97.078909,98.83425,1.755341
0,1,R,99.79326,102.1364,2.34314
0,1,R,109.1463501,110.1375,0.9911499
0,1,R,110.736311,113.8636,3.127289
0,1,R,116.956797,118.4956,1.538803
0,1,R,124.3406085,125.2894,0.9487915
0,1,R,127.9868365,128.856,0.8691635
0,1,R,135.723418,137.3692,1.645782
0,1,R,138.170858,139.3384,1.167542
0,1,R,140.3218,142.6054,2.2836
0,1,R,143.399859,144.7195,1.319641
0,1,R,145.370241,146.4433,1.073059
0,1,CR,148.578414,149.6837,1.105286
0,1,R,150.663835,152.2632,1.599365
0,1,T,153.150998,154.9913,1.840302
0,1,T,155.934735,157.1078,1.173065
0,1,CR,157.5949305,158.5837,0.9887695
0,1,R,160.085844,161.7236,1.637756
0,1,T,163.382017,166.6546,3.272583
0,1,T,166.698376,166.8242,0.125824
0,1,R,167.659852,170.6998,3.039948
0,1,T,171.057202,172.7823,1.725098
0,1,T,174.594328,175.7106,1.116272
0,1,T,175.781109,175.9044,0.123291
1,0,T,0.0043411,0.2470093,0.2426682
1,0,T,0.3003617,0.4925385,0.1921768
1,0,T,9.2422792,9.6698,0.4275208
1,0,T,9.8676954,10.16396,0.2962646
1,0,T,10.4311596,10.73484,0.3036804
1,0,T,11.4984365,12.1204,0.6219635
1,0,T,14.7848913,15.69372,0.9088287
1,0,T,16.0002067,16.79197,0.7917633
1,0,T,19.13378,20.91236,1.77858
1,0,T,24.1877531,24.72236,0.5346069
1,0,T,26.062465,27.3092,1.246735
1,0,T,29.918079,31.11066,1.192581
1,0,T,37.286159,38.56686,1.280701
1,0,CR,41.729574,44.98139,3.251816
1,0,CR,47.811999,49.40314,1.591141
1,0,CR,51.450109,55.94222,4.492111
1,0,T,56.7057758,56.87849,0.1727142
1,0,T,56.8894305,57.13026,0.2408295
1,0,T,57.1879507,57.33561,0.1476593
1,0,T,57.4372217,57.56831,0.1310883
1,0,T,67.9130184,68.55256,0.6395416
1,0,R,71.242838,73.98794,2.745102
1,0,T,75.7171988,76.26267,0.5454712
1,1,T,86.219732,87.42951,1.209778
1,1,T,87.8512618,88.47704,0.6257782
1,1,T,88.792866,89.38007,0.587204
1,1,T,89.386116,89.77285,0.386734
1,1,T,96.627848599,96.63766,0.009811401
1,1,T,96.65227989,96.67764,0.02536011
1,1,T,96.67763198,96.7011,0.02346802
1,1,T,96.708697705,96.71355,0.004852295
1,1,T,96.71977701,96.74059,0.02081299
1,1,T,96.744222446,96.74909,0.004867554
1,1,T,96.7612079,96.77224,0.0110321
1,1,T,96.77719875,96.78936,0.01216125
1,1,T,96.79546019,96.80164,0.00617981
1,1,T,96.816045405,96.81838,0.002334595
1,1,T,96.831750894,96.83671,0.004959106
1,1,T,96.840461641,96.84803,0.007568359
1,1,T,96.859430005,96.8668,0.007369995
1,1,T,96.877709116,96.88749,0.009780884
1,1,T,96.893684414,96.89991,0.006225586
1,1,T,96.911096382,96.91868,0.007583618
1,1,T,96.9311646,96.94357,0.0124054
1,1,T,96.9471784,96.97469,0.0275116
1,1,R,96.970229,102.9821,6.011871
1,1,R,104.335935,107.899,3.563065
1,1,R,118.01002,119.6645,1.65448
1,1,R,123.907414,128.9445,5.037086
1,1,T,138.558088,140.3943,1.836212
1,1,T,142.209023,143.6316,1.422577
1,1,T,145.447992,147.4815,2.033508
1,1,T,149.062285,150.5679,1.505615
1,1,T,152.0975249,152.9858,0.8882751
1,1,T,161.695775,163.4278,1.732025
1,1,T,167.0099151,167.2944,0.2844849
1,1,T,167.694541,168.415,0.720459
1,1,T,168.4270159,168.567,0.1399841
1,1,T,168.7897036,168.931,0.1412964
1,1,T,169.694111,172.2943,2.600189
1,1,T,172.3604636,173.079,0.7185364
1,1,CR,173.629834,176.8224,3.192566
