S,0
T,4.9478,16.97588
T,0.1941528,17.90961
T,0.7908783,27.7686
T,0.2688599,28.14163
R,7.331879,38.22554
T,2.441406,42.04655
T,0.2097626,42.38696
T,1.308441,44.50563
T,2.563538,47.20636
T,0.1887665,47.42686
T,2.867447,54.1633
T,1.941101,56.52275
T,2.484818,60.54013
T,0.577652,61.14099
T,0.40625,61.5537
T,0.1567993,61.72475
R,1.325821,64.81482
R,1.574936,67.25464
T,1.249283,68.73863
T,1.434372,75.69104
T,0.9588776,76.69913
T,0.1519165,77.03198
R,3.179794,80.43515
S,1
T,0.497467,81.11058
T,0.2161255,81.40935
T,2.896881,86.5381
T,3.891617,90.44434
T,0.7225037,91.39462
T,0.4797668,91.98827
T,1.122421,93.2252
T,0.5309601,94.71094
T,0.2112579,95.22078
T,0.4739075,95.78069
T,0.393631,96.57034
T,2.109604,98.76505
R,3.070679,102.6608
R,1.151871,104.9192
R,2.928986,108.1563
R,7.633148,119.1944
T,1.29837,130.5795
T,1.33374,131.9986
T,0.9320984,133.2114
T,0.2771301,133.6464
R,1.449188,135.5856
T,1.770569,137.7266
T,0.7037354,138.4886
T,1.362976,140.2598
T,0.5227356,144.0781
T,2.185455,146.2798
T,1.043274,152.7317
T,0.4646912,153.2638
T,0.7280884,154.0524
CR,1.861542,156.2827
CR,0.9255676,157.6854
S,2
RUNTIME,159.1812
