S,0
T,0.3062668,3.316635
T,0.01223755,3.354507
T,0.00403595,3.375397
T,0.004348755,3.395248
T,0.004478455,3.499207
T,0.004814148,4.947235
CR,1.653503,4.964821
T,0.01676178,4.981857
T,0.03046417,5.041183
T,0.006134033,5.098396
T,0.166687,5.276062
T,0.005401611,6.846466
T,0.01004028,6.869545
T,0.005554199,6.885994
T,0.005317688,6.907455
T,0.001091003,6.917778
T,0.00553894,6.989037
CR,0.9721222,7.380371
T,0.1876297,7.613586
R,1.260948,9.301392
T,0.003425598,23.47668
T,0.005859375,23.63888
T,0.02642059,23.67457
T,0.003448486,23.79432
T,0.005752563,23.80587
CR,1.337959,29.32229
CR,0.8857117,35.05776
S,1
CR,0.8950958,46.56175
T,0.2010498,51.33698
CR,1.447311,60.48093
CR,1.227173,77.5819
S,2
RUNTIME,86.70123
