2	3.251325575	17
2	3.251325575	24
2	4.849438875	15
2	4.849438875	15
2	4.726371375	14
2	4.726371375	19
2	4.69978675	11
3	2.972291	8
3	2.972291	19
3	3.9785115	18
3	3.9785115	14
3	3.9785115	4
3	4.15080525	9
3	4.15080525	5
3	4.15080525	11
3	3.179115575	15
3	3.179115575	9
3	3.179115575	7
3	2.652202538	20
3	2.652202538	20
3	2.652202538	1
3	4.778646875	1
3	4.778646875	10
3	4.778646875	7
4	2.38996525	18
4	2.38996525	13
4	2.38996525	4
4	2.38996525	7
4	3.33753925	2
4	3.33753925	7
4	3.33753925	4
4	3.33753925	8
4	3.023767	14
4	3.023767	11
4	3.023767	17
4	3.023767	3
4	1.776180738	1
4	1.776180738	4
4	1.776180738	15
4	1.776180738	3
4	2.3768976	7
4	2.3768976	3
4	2.3768976	3
4	2.3768976	4
1	5.70552475	23
1	5.08886925	21
2	4.512302825	17
2	3.707838875	11
2	3.707838875	9
2	3.707838875	14
2	4.160006	19
3	3.701374375	12
3	3.701374375	18
3	3.701374375	9
3	3.0536295	8
3	3.0536295	9
3	3.0536295	1
3	4.628315625	8
3	4.628315625	5
3	4.628315625	12
3	4.247868863	12
3	4.247868863	19
3	4.247868863	3
3	2.95349675	17
3	2.95349675	21
3	2.95349675	1
3	4.583976	3
3	4.583976	9
3	4.583976	7
4	2.11079225	9
4	2.11079225	15
4	2.11079225	20
4	2.11079225	11
4	2.288987888	6
4	2.288987888	1
4	2.288987888	3
4	2.288987888	10
4	3.2575605	7
4	3.2575605	23
4	3.2575605	22
4	3.2575605	9
4	1.903549325	1
4	1.903549325	1
4	1.903549325	10
4	1.903549325	1
4	1.918038625	1
4	1.918038625	4
4	1.918038625	5
4	1.918038625	1
