Checkpoint,E1,E2,E3,E4,T1,T2,T3,T4
1,2.285027,8.891509,1.85473,,28.547,16.0269,17.00445,
1,6.62722,6.838632,2.875784,,0.7999,18.4039,1.00108,
2,9.002918,3.861755,4.309965,,39.7952,17.486,23.2995,
3,10.34307,5.753842,5.685935,,28.7245,27.9197,35.1,
3,6.275187,2.178203,1.319708,,21.0163,6.4781,63.4815,
3,6.146957,5.298734,1.291296,,31.757,28.2796,45.2247,
3,8.465077,4.905343,2.04324,,2.4665,6.4164,63.3952,
3,4.289544,4.51594,3.313668,,1.7521,0.8993,27.5784,
3,4.493312,7.221645,1.136087,,12.022,3.6504,13.1628,
3,8.564166,4.120884,0.8041273,,3.9035,21.6439,12.7676,
3,12.60928,2.494468,5.623559,,4.0136,14.3738,19.0118,
4,13.06937,6.286272,4.070271,,56.9718,4.9658,37.617,
4,4.677553,3.316641,2.112444,,28.1352,17.7371,18.4442,
4,8.41391,9.288054,3.681955,,15.1747,11.5772,35.5512,
4,5.08027,6.163433,1.705178,,20.4458,0,45.9559,
4,6.317364,6.00932,2.044359,,5.467,2.6991,17.91,
4,6.680809,6.646376,2.427228,,9.8276,8.8698,7.1162,
4,7.181819,0.824275,2.943125,,0.6591,31.55002,6.8639,
4,16.22197,1.957609,4.643414,,1.6527,1.05002,20.2664,
1,,4.142436,2.160964,,,32.00074,21.152,
1,,2.912466,2.21305,,,15.8093,0.8996,
2,,5.295904,8.903512,,,12.65,37.5452,
3,,4.895791,5.691941,,,10.9001,11.4713,
3,,2.943974,3.181421,,,19.96,9.0831,
3,,4.568118,6.379659,,,17.4616,7.1139,
3,,3.841986,4.963771,,,10.2995,4.9073,
3,,3.190487,3.874757,,,7.3999,1.0503,
3,,9.949568,3.732283,,,3.6997,0.35,
3,,4.130274,3.599788,,,16.25,2.7631,
3,,1.674702,6.805555,,,20.5003,3.2578,
4,,5.980261,7.322898,,,7.6511,11.3672,
4,,1.211287,3.655144,,,18.9631,4.0557,
4,,2.099525,4.866443,,,13.7497,4.6133,
4,,5.970841,2.120363,,,3.6494,0.8991,
4,,5.386072,3.561687,,,6.5508,12.1738,
4,,6.827086,4.607451,,,4.6,0.6503,
4,,1.383808,3.627673,,,29.4053,1.0573,
4,,2.91806,6.910149,,,10.0578,2.649,
1,,7.16804,2.554546,,,24.2187,41.1028,
1,,3.530937,2.685068,,,32.1591,0.149,
2,,4.902911,1.576296,,,15.3594,29.2586,
3,,3.981095,4.957484,,,14.2048,19.6083,
3,,3.0398,2.442658,,,5.653,10.9741,
3,,3.313373,4.814818,,,10.9546,4.8185,
3,,3.814527,3.414459,,,5.2509,26.3071,
3,,3.435683,1.721964,,,5.7527,11.575,
3,,6.090559,4.145202,,,17.322,2.0047,
3,,,2.26528,,,,2.2584,
3,,,4.300107,,,,6.2643,
