Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,Checkpoint7,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
856.9606,3.617202,2.139213,0.2593241,-0.302967,-0.01588051,0.07635476,0.9498046,0.3505427,0.02935546,0.9022811,-0.06223092,0.4256223,1,2.384186E-06,-2.384186E-07,-1.490116E-06,158.7948,149.8585,101.669,58.17353,40.45406,36.70786,63.5012,71.17908,0,1,0,0,0,1.045257E-08,1.031441E-07,-2.347474E-08,1,1,0,0,0,1
857.0107,3.617196,2.139212,0.2593107,-0.302967,-0.01588049,0.07635478,0.9498046,0.3505427,0.02939618,0.9023193,-0.06233434,0.4255236,1,2.384186E-07,0,-0.000000149,130.4461,123.1072,83.52263,47.7948,33.23103,30.15644,52.1649,58.47088,0,1,0,0,0,2.059539E-09,2.155778E-08,5.848912E-09,1,1,0,0,0,1
857.0602,3.617196,2.139212,0.2593077,-0.3029571,-0.01590198,0.0763626,0.9498067,0.3505427,0.02942766,0.9023487,-0.06241436,0.4254472,1,2.384186E-07,0,-0.000000149,155.9702,147.1958,99.86633,57.14848,39.73299,36.05754,62.37199,69.91145,0,1,0,0,0,1.150406E-05,-1.724355E-05,1.395755E-05,1,1,0,0,0,1
857.1107,3.617196,2.139212,0.2593072,-0.3029571,-0.01590185,0.07636266,0.9498067,0.3505427,0.02945199,0.9023716,-0.06247623,0.4253879,1,0,0,0,158.8064,149.8724,101.6824,58.18829,40.45549,36.71349,63.50645,71.18257,0,1,0,0,0,-1.152694E-08,1.388159E-07,-9.840758E-09,1,1,0,0,0,1
857.1604,3.617196,2.139212,0.2593072,-0.3029572,-0.01590185,0.07636266,0.9498067,0.3505427,0.02947083,0.9023892,-0.06252418,0.4253421,1,0,0,0,153.1348,144.5199,98.05092,56.11023,39.01067,35.40239,61.23843,68.64034,0,1,0,0,0,3.070692E-09,-0.000000003,-8.344317E-09,1,1,0,0,0,1
857.2108,3.617196,2.139212,0.2593072,-0.3029572,-0.0159019,0.07636265,0.9498067,0.3505427,0.0294854,0.9024029,-0.06256124,0.4253067,1,0,0,0,155.9707,147.1962,99.86668,57.14933,39.73309,36.05799,62.3725,69.91148,0,1,0,0,0,-3.50054E-09,-5.775724E-08,7.608156E-09,1,1,0,0,0,1
857.2603,3.617196,2.139212,0.2593072,-0.3029573,-0.01590185,0.07636267,0.9498067,0.3505427,0.02949666,0.9024135,-0.06258991,0.4252792,1,0,0,0,155.9707,147.1962,99.86668,57.14933,39.73309,36.05799,62.3725,69.91148,0,1,0,0,0,1.619944E-09,4.961889E-08,-1.040003E-08,1,1,0,0,0,1
857.3107,3.617196,2.139212,0.2593072,-0.3029575,-0.0159019,0.07636271,0.9498067,0.3505427,0.02950537,0.9024217,-0.06261206,0.425258,1,0,0,0,158.8065,149.8725,101.6824,58.18841,40.45551,36.7136,63.50654,71.1826,0,1,0,0,0,2.119184E-09,-3.142751E-08,7.427415E-09,1,1,0,0,0,1
857.361,3.617196,2.139212,0.2593072,-0.3029577,-0.01590195,0.07636274,0.9498066,0.3505427,0.02951213,0.902428,-0.06262929,0.4252416,1,0,0,0,158.8065,149.8725,101.6824,58.18841,40.45551,36.7136,63.50654,71.1826,0,1,0,0,0,4.727897E-09,-5.458088E-08,2.009644E-08,1,1,0,0,0,1
857.4136,3.617196,2.139212,0.2593072,-0.3029578,-0.01590196,0.07636276,0.9498066,0.3505427,0.02951734,0.9024329,-0.06264254,0.4252288,1,0,0,0,127.6124,120.4332,81.70911,46.75856,32.5089,29.50199,51.03205,57.20031,0,1,0,0,0,2.667883E-09,-1.645537E-09,-1.805769E-10,1,1,0,0,0,1
857.464,3.617196,2.139212,0.2593072,-0.3029578,-0.01590206,0.07636274,0.9498065,0.3505427,0.02952137,0.9024367,-0.06265281,0.4252191,1,0,0,0,158.8065,149.8725,101.6824,58.18841,40.45551,36.7136,63.50654,71.1826,0,1,0,0,0,-0.000000003,-9.08447E-08,1.094103E-08,1,1,0,0,0,1
857.5135,3.617196,2.139212,0.2593072,-0.302958,-0.0159021,0.07636276,0.9498065,0.3505427,0.02952448,0.9024396,-0.06266073,0.4252115,1,0,0,0,155.9707,147.1962,99.86668,57.14933,39.7331,36.05799,62.3725,69.91148,0,1,0,0,0,5.21203E-09,-3.740438E-08,-5.182313E-09,1,1,0,0,0,1
