Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
344.9955,0,0,0,0,0,0,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,307.8531,291.9874,0,1,0,0,0,6.087094E-08,2.308335E-09,1.023213E-06,1,1,0,0,0,1
345.045,0,0,0,1.331319E-09,1.272591E-08,-2.893801E-08,1,1,0.07105283,0.7416701,-0.07957659,0.662227,0,0,0,0,276.4301,317.0433,0,1,0,0,0,1.331319E-09,1.272591E-08,-2.893801E-08,1,1,0,0,0,1
345.0968,0,0,0,6.569463E-09,2.712563E-08,-6.589099E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,226.1701,259.3989,0,1,0,0,0,5.238145E-09,1.439972E-08,-0.000000037,1,1,0,0,0,1
345.1472,0,0,0,1.062324E-08,3.709123E-08,-4.577551E-08,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,281.4561,322.8077,0,1,0,0,0,4.053781E-09,0.00000001,2.011549E-08,1,1,0,0,0,1
345.1967,0,0,0,1.34742E-08,4.160449E-08,-7.065694E-08,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,276.4301,317.0433,0,1,0,0,0,2.850961E-09,4.51326E-09,-2.488142E-08,1,1,0,0,0,1
345.2471,0,0,0,1.591336E-08,5.086772E-08,-1.08219E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,281.4561,322.8077,0,1,0,0,0,2.439162E-09,9.263241E-09,-3.756205E-08,1,1,0,0,0,1
345.3077,0,0,0,1.908715E-08,5.782596E-08,-0.000000099,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,271.4041,311.2788,0,1,0,0,0,3.173783E-09,0.000000007,9.237112E-09,1,1,0,0,0,1
345.3501,0,0,0,2.178759E-08,7.010574E-08,-7.861023E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,236.2221,270.9278,0,1,0,0,0,2.700447E-09,1.227975E-08,2.037165E-08,1,1,0,0,0,1
345.4005,0,0,0,2.712855E-08,8.492528E-08,-4.937549E-08,1,1,0.07105281,0.7416701,-0.07957656,0.662227,0,0,0,0,281.4561,322.8077,0,1,0,0,0,5.340965E-09,1.481952E-08,2.923474E-08,1,1,0,0,0,1
345.45,0,0,0,3.249521E-08,0.000000095,-3.258033E-08,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,276.4301,317.0433,0,1,0,0,0,5.366669E-09,0.00000001,1.679515E-08,1,1,0,0,0,1
