Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,Checkpoint7,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
166.7256,0,0,0,0,0,0,1,1,0.05732334,0.7368126,-0.06297264,0.6707128,0,0,0,0,5407.048,5081.821,52.96402,50.70893,46.18677,42.93446,40.3986,46.24526,0,1,0.2956185,-0.01459958,-0.03651878,6.842146E-09,-2.38166E-07,-2.041403E-07,0.9999999,1,0,0,0,1,1,1,0,0,0,6.353575E-09,-0.00000022,-1.853637E-07,0.9999999,1,0,0,0,1,2,1,0,0,0,0.000000006,-2.080916E-07,-1.783921E-07,0.9999999,1,0,0,0,1
166.7766,0,0,0,1.863182E-09,-2.948026E-08,1.949882E-08,1,1,0.05732334,0.7368127,-0.06297264,0.6707128,0,0,0,0,127.4308,152.9481,148.2992,141.985,129.3229,120.2165,113.1161,129.4867,0,1,0,0,0,6.771052E-10,-1.0419E-08,4.81656E-09,1,1,0,0,0,1,1,1,0,0,0,4.71596E-10,-8.089738E-09,1.189476E-08,1,1,0,0,0,1,2,1,0,0,0,6.576743E-10,-9.827263E-09,3.016942E-10,1,1,0,0,0,1
166.8263,0,0,0,6.29391E-09,-4.767448E-08,-1.649078E-08,1,1,0.05732334,0.7368126,-0.06297264,0.6707129,0,0,0,0,122.8797,147.4857,143.0028,136.9141,124.7042,115.9231,109.0763,124.8622,0,1,0,0,0,1.594041E-09,-6.203071E-09,-1.053979E-08,1,1,0,0,0,1,1,1,0,0,0,1.594041E-09,-6.203071E-09,-1.053979E-08,1,1,0,0,0,1,2,1,0,0,0,1.242643E-09,-5.788101E-09,-1.491005E-08,1,1,0,0,0,1
166.8759,0,0,0,1.093345E-08,-5.782408E-08,-0.000000046,1,1,0.05732333,0.7368127,-0.06297264,0.6707128,0,0,0,0,122.8797,147.4857,143.0028,136.9141,124.7042,115.9231,109.0763,124.8622,0,1,0,0,0,1.769731E-09,-4.126004E-09,-7.450915E-09,1,1,0,0,0,1,1,1,0,0,0,1.402211E-09,-3.396347E-09,-0.000000012,1,1,0,0,0,1,2,1,0,0,0,1.467593E-09,-2.627255E-09,-1.007568E-08,1,1,0,0,0,1
166.9257,0,0,0,1.408102E-08,-7.411467E-08,-7.180306E-08,1,1,0.05732332,0.7368126,-0.06297261,0.6707129,0,0,0,0,127.4308,152.9481,148.2992,141.985,129.3229,120.2165,113.1161,129.4867,0,1,0,0,0,0.000000001,-6.673185E-09,-1.221751E-08,1,1,0,0,0,1,1,1,0,0,0,1.303412E-09,-2.099376E-09,-8.301246E-09,1,1,0,0,0,1,2,1,0,0,0,9.473546E-10,-4.266204E-09,-8.463422E-09,1,1,0,0,0,1
166.9762,0,0,0,1.430094E-08,-2.587789E-08,-1.665265E-07,1,1,0.0573233,0.7368126,-0.0629726,0.6707128,0,0,0,0,131.9819,158.4106,153.5956,147.0559,133.9416,124.51,117.156,134.1113,0,1,0,0,0,2.802463E-10,1.411713E-08,-0.000000027,1,1,0,0,0,1,1,1,0,0,0,-2.670854E-10,1.207457E-08,-3.11126E-08,1,1,0,0,0,1,2,1,0,0,0,1.375397E-10,1.879324E-08,-3.340156E-08,1,1,0,0,0,1
167.0259,0,0,0,0.000000016,2.639733E-08,-2.48581E-07,1,1,0.0573233,0.7368126,-0.06297259,0.6707128,0,0,0,0,131.9819,158.4106,153.5957,147.0559,133.9416,124.51,117.156,134.1113,0,1,0,0,0,4.757645E-10,0.000000015,-0.000000024,1,1,0,0,0,1,1,1,0,0,0,5.758882E-10,1.834697E-08,-2.720448E-08,1,1,0,0,0,1,2,1,0,0,0,6.009782E-10,1.891179E-08,-3.088077E-08,1,1,0,0,0,1
167.0753,0,0,0,1.412122E-08,6.608857E-08,-3.048858E-07,1,1,0.05732327,0.7368125,-0.06297256,0.6707129,0,0,0,0,168.3907,202.11,195.9669,187.623,170.8911,158.8575,149.4749,171.1075,0,1,0,0,0,-8.532874E-10,1.485622E-08,-3.045871E-08,1,1,0,0,0,1,1,1,0,0,0,-2.678498E-10,1.2087E-08,-1.346014E-08,1,1,0,0,0,1,2,1,0,0,0,-7.112275E-10,1.274802E-08,-1.238586E-08,1,1,0,0,0,1
167.1254,0,0,0,6.214245E-09,8.689968E-08,-3.871068E-07,1,1,0.05732327,0.7368126,-0.06297256,0.6707129,0,0,0,0,168.3907,202.11,195.9669,187.623,170.8911,158.8575,149.4749,171.1075,0,1,0,0,0,-2.859682E-09,1.292037E-08,-0.000000032,1,1,0,0,0,1,1,1,0,0,0,-2.90092E-09,3.250873E-09,-2.66428E-08,1,1,0,0,0,1,2,1,0,0,0,-2.146377E-09,4.639879E-09,-2.360526E-08,1,1,0,0,0,1
167.175,0,0,0,3.775206E-10,8.191461E-08,-4.974343E-07,1,1,0.05732325,0.7368126,-0.06297253,0.6707129,0,0,0,0,145.6352,174.7979,169.4848,162.2686,147.7977,137.3903,129.2756,147.9848,0,1,0,0,0,-0.000000002,-8.967737E-10,-3.877467E-08,1,1,0,0,0,1,1,1,0,0,0,-1.144351E-09,-2.575212E-09,-0.000000036,1,1,0,0,0,1,2,1,0,0,0,-2.730595E-09,-1.513052E-09,-3.55748E-08,1,1,0,0,0,1
