4,2,20-Task1
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
92.24177,0,0,0,0,0,0,1,0.7415925,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,10.052,11.52885,0,1,0,0,0,-5.603658E-10,5.184563E-09,-7.141345E-10,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0.7464281,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,1,3,1,0,0,0,-2.801829E-10,2.592281E-09,-3.570673E-10,1,1,0,0,0,1
92.29124,0,0,0,4.067425E-09,6.463922E-08,-1.253391E-07,1,0.7329432,0.07105283,0.7416701,-0.07957659,0.662227,0,0,0,0,115.9798,133.8697,0,1,0,0,0,1.051136E-09,1.531819E-08,-2.929508E-08,1,1,0,0,0,1,1,1,0,0,0,1.542942E-09,1.181686E-08,-3.266033E-08,1,0.9883369,0,0,0,1,2,1,0,0,0,7.709528E-10,1.791047E-08,-2.965215E-08,1,1,0,0,0,1,3,1,0,0,0,1.542942E-09,1.181686E-08,-3.266033E-08,1,1,0,0,0,1
92.34038,0,0,0,1.825989E-08,1.225669E-07,-2.314242E-07,1,0.7282144,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,144.3925,166.7764,0,1,0,0,0,2.552715E-09,7.974284E-09,-2.077427E-08,1,1,0,0,0,1,1,1,0,0,0,3.980303E-09,1.650592E-08,-2.748153E-08,1,0.9935482,0,0,0,1,2,1,0,0,0,4.470562E-09,1.867572E-08,-3.03816E-08,1,1,0,0,0,1,3,1,0,0,0,3.188894E-09,1.477179E-08,-2.744768E-08,1,1,0,0,0,1
92.39076,0,0,0,3.107016E-08,1.523591E-07,-1.516734E-07,1,0.7282144,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,144.3102,166.6971,0,1,0,0,0,3.232526E-09,7.764333E-09,2.037054E-08,1,1,0,0,0,1,1,1,0,0,0,2.794383E-09,4.297942E-09,1.88371E-08,1,1,0,0,0,1,2,1,0,0,0,2.971053E-09,7.322415E-09,1.648413E-08,1,1,0,0,0,1,3,1,0,0,0,3.812312E-09,1.040751E-08,2.4059E-08,1,1,0,0,0,1
92.44076,0,0,0,4.19998E-08,1.668566E-07,-2.696966E-07,1,0.7282144,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,134.6879,155.5825,0,1,0,0,0,3.139424E-09,5.062335E-09,-2.840579E-08,1,1,0,0,0,1,1,1,0,0,0,2.570315E-09,2.310375E-09,-3.592807E-08,1,1,0,0,0,1,2,1,0,0,0,3.139424E-09,5.062335E-09,-2.840579E-08,1,1,0,0,0,1,3,1,0,0,0,2.080474E-09,2.062407E-09,-2.528341E-08,1,1,0,0,0,1
92.49001,0,0,0,4.917873E-08,1.973646E-07,-3.951813E-07,1,0.7282144,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,139.4982,161.139,0,1,0,0,0,1.81412E-09,7.609859E-09,-3.074172E-08,1,1,0,0,0,1,1,1,0,0,0,1.81412E-09,7.609859E-09,-3.074172E-08,1,1,0,0,0,1,2,1,0,0,0,1.736556E-09,7.67837E-09,-3.325956E-08,1,1,0,0,0,1,3,1,0,0,0,1.81412E-09,7.609859E-09,-3.074172E-08,1,1,0,0,0,1
92.54034,0,0,0,6.177765E-08,2.188719E-07,-3.669469E-07,1,0.7282144,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,149.1188,172.252,0,1,0,0,0,3.556895E-09,5.693106E-09,7.44862E-09,1,1,0,0,0,1,1,1,0,0,0,2.431179E-09,4.427972E-09,5.831441E-09,1,1,0,0,0,1,2,1,0,0,0,3.616811E-09,6.325674E-09,8.314314E-09,1,1,0,0,0,1,3,1,0,0,0,2.994037E-09,5.060539E-09,6.64003E-09,1,1,0,0,0,1
92.59014,0,0,0,7.555225E-08,2.723412E-07,-2.763825E-07,1,0.7282144,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,134.6879,155.5825,0,1,0,0,0,1.72243E-09,5.918916E-09,8.185516E-09,1,1,0,0,0,1,1,1,0,0,0,5.599374E-09,2.549563E-08,3.881396E-08,1,1,0,0,0,1,2,1,0,0,0,3.507851E-09,1.134363E-08,2.218677E-08,1,1,0,0,0,1,3,1,0,0,0,2.944993E-09,1.071106E-08,2.137818E-08,1,1,0,0,0,1
92.64033,0,0,0,9.636647E-08,3.215777E-07,-1.679095E-07,1,0.7282144,0.07105281,0.7416701,-0.07957656,0.662227,0,0,0,0,149.1188,172.252,0,1,0,0,0,5.607506E-09,9.677204E-09,3.133155E-08,1,1,0,0,0,1,1,1,0,0,0,5.707606E-09,1.481386E-08,2.625285E-08,1,1,0,0,0,1,2,1,0,0,0,4.749596E-09,1.237266E-08,2.544425E-08,1,1,0,0,0,1,3,1,0,0,0,4.749596E-09,1.237266E-08,2.544425E-08,1,1,0,0,0,1
92.68991,0,0,0,1.165823E-07,3.671937E-07,-9.396335E-08,1,0.7282144,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,149.1188,172.252,0,1,0,0,0,5.314823E-09,1.214702E-08,1.965944E-08,1,1,0,0,0,1,1,1,0,0,0,5.312996E-09,1.004725E-08,1.680125E-08,1,1,0,0,0,1,2,1,0,0,0,5.368495E-09,1.214702E-08,1.965335E-08,1,1,0,0,0,1,3,1,0,0,0,4.219614E-09,1.127451E-08,1.783213E-08,1,1,0,0,0,1
