Time;Translation X;Translation Y;Translation Z;Rotation X;Rotation Y;Rotation Z;Rotation W;Scalling;Camera X;Camera Y;Camera Z;Camera W;IsInCollision;CollisionForce X;CollisionForce Y;CollisionForce Z;Checkpoint0;Checkpoint1;Checkpoint2;Checkpoint3;Checkpoint4;Checkpoint5;Checkpoint6;Checkpoint7;User;Connected;Translation X;Translation Y;Translation Z;Rotation X;Rotation Y;Rotation Z;Rotation W;Scalling;Camera X;Camera Y;Camera Z;Camera W
1059,093;3,625818;2,379698;0,05805286;-0,005649385;-0,05204893;-0,06759836;0,996338;0,3482819;0,02077043;0,8352547;-0,0316257;0,5485601;0;0;0;0;164,6152;152,8063;103,6482;61,87171;41,59737;48,26168;76,41503;85,31674;0;1;0,01085006;0,003181189;0,02524278;-1,36087E-09;-3,66026E-08;3,96519E-09;0,9999998;1;0;0;0;1
1059,142;3,640466;2,385141;0,09150242;-0,005649386;-0,05204892;-0,06759836;0,9963381;0,3482819;0,02082894;0,8353572;-0,03172819;0,5483957;0;0;0;0;166,8429;154,65;104,662;62,02524;41,91563;48,76396;77,46046;86,37697;0;1;0,0174787;0,007540873;0,03931441;-4,53338E-09;1,11755E-08;-4,54941E-09;1;1;0;0;0;1
1059,193;3,658611;2,390887;0,1335474;-0,005649392;-0,05204896;-0,06759836;0,9963381;0,3482819;0,02082557;0,8349074;-0,03166623;0,5490841;0;0;0;0;147,1533;136,0324;91,70063;53,64325;36,64635;42,93498;68,46117;76,16729;0;1;0,0188603;0,004054732;0,04486463;-6,08886E-09;-4,55506E-08;7,08121E-09;1;1;0;0;0;1
1059,242;3,677377;2,3955;0,1780433;-0,005649397;-0,052049;-0,06759838;0,996338;0,3482819;0,02079189;0,833977;-0,03149817;0,5505069;0;0;0;0;166,9685;153,7996;103,1636;59,33377;41,21336;48,68978;77,92608;86,42719;0;1;0,0197898;0,003716634;0,04771141;-4,1819E-09;-5,72641E-08;-1,58202E-08;1;1;0;0;0;1
1059,293;3,702235;2,397817;0,2395442;-0,005649392;-0,05204902;-0,06759838;0,9963381;0,3482819;0,02076171;0,8325629;-0,03127695;0,552657;0;0;0;0;168,242;154,2597;102,9186;58,07523;41,24111;49,07766;78,77062;87,04213;0;1;0,03210473;7,36534E-05;0,08135577;2,71251E-09;-2,0497E-08;4,05601E-09;1;1;0;0;0;1
1059,342;3,735956;2,393998;0,3278288;-0,005649392;-0,05204903;-0,06759838;0,996338;0,3482819;0,02081857;0,8303685;-0,03109429;0,5559568;0;0;0;0;162,7161;148,2163;98,18176;53,94318;39,78156;47,5648;76,50347;84,06355;0;1;0,03337876;-0,006794888;0,08980136;1,08153E-09;-1,48713E-08;-6,07385E-09;1;1;0;0;0;1
1059,393;3,763532;2,386973;0,4039627;-0,005649391;-0,052049;-0,06759834;0,996338;0,3482819;0,0210027;0,8275518;-0,03102956;0,5601377;0;0;0;0;162,2336;146,5225;96,22295;51,05956;40,02855;47,75706;76,73401;83,64055;0;1;0,02472002;-0,007540139;0,07040607;2,49633E-10;2,5691E-08;1,0123E-08;1;1;0;0;0;1
1059,442;3,786777;2,379973;0,4708305;-0,005649392;-0,05204898;-0,06759835;0,9963381;0,3482819;0,02129474;0,8243623;-0,03108065;0,5648074;0;0;0;0;156,0909;139,8088;91,10777;46,70544;39,36634;46,556;74,37301;80,3877;0;1;0,01728766;-0,005494656;0,05086183;-2,67294E-09;6,59596E-09;-8,66905E-09;1;1;0;0;0;1
1059,493;3,797172;2,376693;0,5015914;-0,005649388;-0,05204903;-0,06759834;0,9963381;0,3482819;0,02161458;0,8212678;-0,03118211;0,56928;0;0;0;0;156,2069;139,047;89,97417;44,61137;40,47849;47,36485;75,0181;80,48352;0;1;0,005541522;-0,00182703;0,01702797;6,84323E-10;-4,49187E-08;6,3233E-09;1;1;0;0;0;1
1059,542;3,803195;2,374706;0,5200939;-0,005649388;-0,052049;-0,06759834;0,9963381;0,3482819;0,02190915;0,8185536;-0,03128943;0,5731587;1;0;0;0;151,9232;134,7957;86,85169;42,23591;40,11012;46,60995;73,35056;78,35314;0;1;0,004520687;-0,001533177;0,01422013;1,26265E-09;1,89074E-08;-2,10013E-09;1;1;0;0;0;1
1059,593;3,805396;2,373967;0,5269588;-0,005649392;-0,052049;-0,06759835;0,996338;0,3482819;0,02216286;0,8162753;-0,03138705;0,5763838;1;0;0;0;153,8241;136,2259;87,56135;42,109;41,08148;47,5422;74,51262;79,39967;0;1;0;0;0;-2,20579E-09;-1,47419E-08;-2,2599E-09;1;1;0;0;0;1
1059,643;3,805766;2,373843;0,5281125;-0,005649396;-0,05204897;-0,06759837;0,996338;0,3482819;0,02236459;0,8144681;-0,03146403;0,5789228;1;0;0;0;150,7152;133,3642;85,63321;40,98435;40,45741;46,73579;73,11375;77,82764;0;1;0;0;0;-2,24607E-09;3,00504E-08;-1,49466E-08;1;1;0;0;0;1
1059,692;3,805828;2,373822;0,5283064;-0,005649392;-0,05204896;-0,06759831;0,9963381;0,3482819;0,02252151;0,8130584;-0,03152275;0,5808917;1;0;0;0;134,1852;118,7106;76,2026;36,42276;36,07146;41,64846;65,12148;69,30025;0;1;0;0;0;1,51824E-09;-3,92171E-09;1,382E-08;1;1;0;0;0;1
1059,743;3,808039;2,37307;0,5360166;-0,005649392;-0,05204894;-0,0675983;0,9963381;0,3482819;0,02265026;0,8119151;-0,031572;0,582481;1;0;0;0;153,2993;135,6038;87,03282;41,56915;41,2404;47,60448;74,41402;79,17789;0;1;0,004113198;-0,001406535;0,01435628;1,95538E-09;2,0315E-08;5,12207E-09;1;1;0;0;0;1
1059,792;3,81402;2,348636;0,572224;-0,005649394;-0,05204894;-0,06759832;0,996338;0,3482819;0,0228863;0,8107687;-0,03177008;0,5840557;1;0;0;0;150,1967;132,773;85,14187;40,49327;40,59508;46,74712;72,97092;77,57848;0;1;0,01106023;-0,05762989;0,07562155;4,15426E-09;1,60481E-08;3,97143E-10;1;1;0;0;0;1
1059,843;3,883225;2,195656;0,7661753;-0,005649394;-0,05204894;-0,06759832;0,996338;0,3482819;0,02439437;0,8081593;-0,0335566;0,587501;1;0,01733613;-0,001938105;0,001314521;149,9329;132,3138;84,60828;39,56546;41,62181;46,88285;72,63982;76,87526;0;1;0,04539575;-0,2441576;0,3225049;8,97842E-10;-5,80674E-09;-2,15257E-09;1;1;0;0;0;1
1059,892;3,973151;1,980672;0,9937831;-0,005649394;-0,05204896;-0,06759833;0,996338;0,3482819;0,02848605;0,8025912;-0,03845001;0,5946071;0;0;0;0;137,1379;120,5611;76,90334;36,44388;46,36553;45,03726;67,33571;67,22198;0;1;0,02159988;-0,1828218;0,2128775;-3,9309E-10;-2,38562E-08;3,46503E-09;1;1;0;0;0;1
1059,942;3,986656;1,84067;1,152135;-0,005649395;-0,05204898;-0,06759834;0,9963381;0,3482819;0,03427741;0,7953389;-0,04517289;0,6035069;0;0;0;0;126,6541;111,3098;72,49568;39,94685;58,4984;50,55458;67,89748;57,97739;0;1;0,003668708;-0,0910739;0,09245294;3,2376E-10;-1,72055E-08;3,09232E-09;1;1;0;0;0;1
1059,992;3,989478;1,796844;1,198696;-0,005649396;-0,05204898;-0,06759834;0,9963381;0,3482819;0,04010277;0,7882969;-0,0516712;0,6118088;0;0;0;0;112,6372;99,38017;66,83725;44,19307;65,23323;54,32407;65,54427;50,18373;0;1;0;0;0;-2,99244E-10;-1,7826E-09;3,03183E-10;1;1;0;0;0;1
