S,0
T,0.6231003,0.6282349
T,1.646698,3.250687
T,0.8098068,5.450867
T,0.6848755,6.441772
T,0.8159561,7.468216
T,0.6996613,8.564972
T,0.6440277,9.457619
T,3.765068,23.51254
T,0.8462143,25.24123
T,0.4403687,26.3481
T,1.443283,28.1315
T,0.784317,29.45145
T,0.007400513,38.70287
T,0.005996704,38.72453
T,0.004943848,38.74171
T,0.00491333,38.75763
T,0.006072998,38.77119
T,0.004608154,38.79106
T,0.004882813,38.80795
T,0.004684448,38.82462
T,0.005828857,38.841
T,0.005783081,38.85732
T,0.006851196,38.8734
T,0.005859375,38.89185
T,0.005828857,38.90247
T,0.004760742,38.92397
T,0.009628296,38.94679
T,0.005935669,38.95746
T,0.01086426,38.97673
T,0.004837036,38.9899
T,0.007110596,39.00641
T,0.004669189,39.02321
T,0.00491333,39.03925
T,0.004882813,39.12157
T,0.01060486,39.14203
T,0.006088257,39.15303
T,0.002456665,39.17014
T,0.003662109,39.18979
T,0.003662109,39.20213
T,0.006225586,39.23662
T,0.006164551,39.25778
T,0.005065918,39.26772
T,0.007278442,39.2861
T,0.006164551,39.31831
T,0.006210327,39.33444
T,0.005096436,39.35083
T,0.008865356,39.38554
T,0.003799438,39.4229
T,0.01124573,39.49156
T,0.004776001,39.51846
T,0.006652832,39.56744
T,0.006134033,39.61824
T,0.009994507,39.67332
T,0.009872437,39.70422
T,0.01135254,39.72115
T,0.005889893,40.58113
CR,0.8771057,40.58113
T,0.1566315,40.74969
S,1
T,1.052582,44.60243
T,0.5944366,45.42624
T,0.7546234,46.48262
T,0.6699524,47.39752
T,0.6899109,48.33011
T,2.132584,50.94791
T,0.8467865,51.99396
T,1.876129,54.20538
T,0.9109802,55.54654
T,1.606247,57.80444
T,0.9518738,59.22311
CR,2.21228,62.72073
T,0.6341858,66.81592
T,2.168503,74.31007
T,0.2962341,74.8161
T,0.7358093,76.70267
T,0.2049103,76.98476
S,2
RUNTIME,80.40123
