3,3,Konstantin-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
64.64639,0.977,-0.187,-1.75,0,0,0,1,1,0.1635913,0.08044753,-0.01338605,0.9831516,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-2.140201E-08,2.370373E-08,1.159257E-08,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
64.69588,0.977,-0.187,-1.75,2.73929E-09,-1.650161E-08,4.16293E-09,1,1,0.1635383,0.08034316,-0.01336411,0.9831692,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,2.237442E-08,5.800089E-10,-1.064989E-09,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
64.74682,0.977,-0.187,-1.75,3.811898E-08,2.092762E-08,2.128153E-08,1,1,0.1634599,0.08018927,-0.01333177,0.9831952,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,2.525652E-08,2.057082E-08,8.285688E-09,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
64.79711,0.977,-0.187,-1.75,1.176449E-08,3.438473E-08,3.594378E-08,1,1,0.1634201,0.08011113,-0.01331535,0.9832085,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-2.701917E-08,4.744379E-09,9.811187E-09,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
64.84803,0.977,-0.187,-1.75,-1.174345E-08,5.24121E-08,5.578136E-08,1,1,0.1634239,0.08011845,-0.0133169,0.9832072,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,3.426686E-08,2.040526E-08,1.028367E-08,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
64.89767,0.977,-0.187,-1.75,1.946859E-08,2.530994E-08,3.166486E-08,1,1,0.1634531,0.08017601,-0.01332898,0.9831975,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1.530183E-08,-3.295137E-08,-2.189818E-08,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
64.94724,0.977,-0.187,-1.75,-1.769072E-08,2.525095E-08,3.170083E-08,1,1,0.1634887,0.08024582,-0.01334365,0.9831856,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-8.632921E-09,-5.434969E-09,-2.261255E-09,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
64.99779,0.977,-0.187,-1.75,-3.589831E-08,2.626807E-08,5.383455E-08,1,1,0.1635263,0.08031982,-0.0133592,0.9831731,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-3.073445E-09,8.121778E-09,1.078684E-08,0.9999998,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
65.04674,0.977,-0.187,-1.75,6.628651E-09,5.602257E-08,6.163319E-08,1,1,0.1635526,0.08037148,-0.01337006,0.9831644,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,2.540406E-08,2.180799E-08,2.791074E-09,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
65.09681,0.977,-0.187,-1.75,1.065786E-08,7.27999E-08,6.322907E-08,1,1,0.1635684,0.0804024,-0.01337656,0.9831592,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-2.415965E-08,2.642854E-09,-2.867514E-10,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
65.1472,0.977,-0.187,-1.75,8.049639E-08,9.835179E-08,6.558025E-08,1,1,0.1635778,0.08042083,-0.01338044,0.983156,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,3.271465E-08,1.465055E-08,2.010891E-09,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
