S,0
T,0.1340027,0.1389771
T,0.120636,0.548172
T,0.3636322,6.643723
T,0.09861755,6.817108
T,0.01568604,21.05136
T,0.01287842,21.07944
T,0.006378174,21.08582
T,0.007400513,21.09639
T,0.005554199,21.1116
T,0.02154541,21.14978
T,0.03471375,21.18936
T,0.01196289,21.20566
T,0.008621216,21.22073
T,0.005371094,21.23151
T,0.005477905,21.24774
T,0.04008484,21.29866
T,0.008468628,21.32098
T,0.02371216,21.34793
T,0.005477905,21.36421
T,0.02153015,21.39209
T,0.003265381,21.39754
T,0.006484985,21.41487
T,0.006546021,21.43114
T,0.04309082,21.48735
T,0.02255249,21.51521
T,0.005401611,21.53137
T,0.010849,21.55502
T,0.004165649,21.56454
T,0.00213623,21.58167
T,0.01065063,21.65106
T,0.005325317,21.66168
T,0.007705688,21.67908
T,0.01087952,21.70091
T,0.005447388,21.71077
T,0.02180481,21.74463
T,0.01075745,21.77046
T,0.04025269,21.81612
T,0.01098633,21.83896
T,0.005401611,21.84975
T,0.005371094,21.93082
T,0.004318237,21.95018
T,0.003204346,21.96416
T,0.005493164,21.97957
T,0.004211426,21.9967
T,0.02996826,22.80244
T,0.008590698,22.88361
T,0.03947449,22.93158
T,0.008483887,22.94006
T,0.01153564,22.96204
T,0.004379272,22.99786
T,0.03608704,23.03954
T,0.009765625,23.0762
T,0.002212524,23.08061
T,0.00328064,23.1058
T,0.01292419,23.11873
T,0.00541687,23.13733
T,0.003250122,23.14638
T,0.01121521,23.16537
T,0.01281738,23.18405
T,0.01148987,23.20015
T,0.01152039,23.21626
T,0.01164246,23.2326
T,0.00579834,23.24307
T,0.004653931,23.26016
T,0.00579834,23.27643
T,0.006988525,23.29372
T,0.003494263,23.30901
T,0.004608154,23.32764
T,0.005630493,23.34251
T,0.00592041,23.36377
T,0.005813599,23.38005
T,0.005935669,23.39783
T,0.005859375,23.4192
T,0.01075745,23.43604
T,0.009628296,23.44804
T,0.006011963,23.46251
T,0.003616333,23.47928
T,0.04211426,23.55156
T,0.005950928,23.55751
T,0.01434326,23.57776
T,0.005905151,23.59909
T,0.005935669,23.60983
T,0.007217407,23.62543
T,0.9916229,24.63268
T,0.3587494,25.28612
T,0.7916565,26.30301
T,0.5739746,27.00845
T,0.5649872,29.24858
T,0.5296631,30.03064
T,0.4439087,30.67641
T,0.5275116,31.52483
T,0.5618439,32.50743
T,1.187317,34.18732
T,0.4308319,35.26274
T,0.04360962,36.15562
T,0.457077,36.63707
CR,1.571945,42.90053
CR,3.498199,46.40497
R,1.33165,54.81937
R,2.129364,57.66461
R,0.8594666,59.81142
R,1.754105,62.33842
R,1.062912,68.64276
CR,2.149368,74.58107
T,1.161011,85.39157
T,0.6634674,86.96481
T,0.7891235,88.05479
R,1.450134,112.3781
R,1.147125,113.545
R,1.427917,117.1343
R,2.39093,120.3412
R,2.751434,124.0439
R,1.544708,129.9419
T,3.229553,136.1978
R,1.35379,141.0582
T,0.2536316,144.4994
T,0.5751648,147.025
T,1.361328,152.639
T,0.01699829,152.8145
T,0.03158569,152.9713
CR,2.779999,159.3421
T,0.4436646,161.4744
S,1
T,0.7922668,162.3121
RUNTIME,176.9964
