S,0
T,1.133698,5.128174
T,0.3263245,5.634399
T,0.2175598,6.017929
T,0.2061462,6.272552
T,0.2028351,6.53215
T,0.2302551,6.789063
T,0.2028809,7.04213
T,0.2278595,7.305817
T,0.2008972,7.556839
T,0.2048035,7.821045
T,0.2424011,8.103912
T,0.2501678,8.422653
T,0.2615967,8.75119
T,0.2302399,9.021637
T,0.1984863,9.325043
T,0.197525,9.606079
T,0.229126,9.956039
T,0.4739227,10.52585
T,0.53125,11.11934
T,0.3240967,11.58086
R,10.70122,23.99397
T,1.305008,26.04605
T,0.7209167,27.1384
T,1.109344,28.3512
T,0.4707031,28.91638
T,1.080414,30.12199
T,0.564743,31.11118
T,0.6770477,31.87106
T,0.9717102,32.96106
T,0.4352264,33.4238
T,0.5700073,34.10805
T,0.4402161,34.64384
T,0.4395752,35.09308
T,0.3922424,35.61284
T,0.4109802,36.66629
T,0.3109741,37.00316
T,0.5583038,37.76912
T,0.2921448,38.38507
T,0.7721252,40.01631
T,0.5057831,40.66154
T,1.052979,41.76013
T,0.4754333,42.82039
T,0.6608276,43.62042
T,0.4328613,44.17191
S,1
T,0.1335144,45.16226
T,0.2601471,47.54745
T,0.2349854,47.8396
T,0.2092438,48.11194
T,0.2087097,48.41458
T,0.219574,48.74268
T,0.247467,49.03464
T,0.1778259,49.2149
T,0.2223053,49.49367
T,0.4740601,49.98117
T,0.2377319,50.24689
T,0.4210205,50.67407
T,0.2499542,51.03465
T,0.2143402,51.31213
T,0.2152405,51.56053
T,0.1967621,51.78786
T,0.1997681,52.03751
T,0.2323456,52.29906
T,0.2575989,52.72275
T,0.221344,52.97488
T,0.2307892,53.22687
T,0.2511749,53.50891
T,0.1362457,53.77603
T,0.1502228,55.21527
T,0.003723145,55.46371
T,0.003799438,55.47137
T,0.006912231,56.0172
T,0.003967285,56.04269
T,0.001342773,56.14452
T,0.00491333,56.27748
T,0.001373291,56.28882
T,0.1094971,56.4095
T,0.01014709,56.54742
T,0.005599976,56.57491
T,0.01026917,57.22893
T,0.01165771,57.29694
T,0.01919556,57.43533
T,0.004577637,57.57939
T,0.01818848,57.61992
T,0.01216125,57.64871
T,0.007553101,57.67764
T,0.01043701,57.7803
T,0.005966187,57.81555
T,0.007400513,57.85735
T,0.0125885,57.87982
T,0.007110596,57.89253
T,0.004364014,57.92635
T,0.01063538,58.20029
T,1.275879,60.53363
T,0.01020813,61.17064
T,0.007141113,61.17778
T,0.01564026,61.19914
T,0.004241943,61.22052
T,0.02145386,63.13049
T,0.02758789,63.16245
T,0.01100159,63.17899
T,0.008453369,63.19032
T,0.0211792,63.22595
T,0.001464844,63.2303
T,0.01147461,63.24884
T,0.005661011,63.2588
T,0.005599976,63.27693
T,0.005599976,63.29362
T,0.004165649,63.31177
T,0.009887695,63.32889
T,0.004318237,63.33896
T,0.01147461,63.36215
T,0.005630493,63.37341
T,0.005737305,63.392
T,0.008621216,63.41075
T,0.01161194,63.42805
T,0.00579834,63.43959
T,0.01133728,63.4624
T,0.01112366,63.47906
T,0.01242065,63.49702
T,0.02716064,63.52992
T,0.01150513,63.54715
T,0.02452087,63.5775
T,0.005767822,63.58899
T,0.005813599,63.6062
T,0.01132202,63.62888
T,0.005691528,63.64027
T,0.01148987,63.66762
T,0.0174408,63.68813
T,0.0254364,63.73309
T,0.002685547,63.75958
T,0.01693726,63.78079
T,0.04418945,63.83492
T,0.005661011,63.85635
T,0.01135254,63.87953
T,0.008392334,63.89362
T,0.02856445,63.92804
T,0.005615234,63.9407
T,0.03038025,63.97964
T,0.01567078,63.99677
T,0.02877808,64.0298
T,0.03018188,64.22656
T,0.006835938,64.23898
T,0.01127625,64.26292
T,0.01109314,64.27956
T,0.01121521,64.29758
T,0.005508423,64.30713
T,0.01231384,64.33026
T,0.01086426,64.34644
T,0.005203247,64.35686
T,0.009384155,64.37939
T,0.005249023,64.39119
T,0.0316925,64.4294
T,0.02101135,64.45303
T,0.02114868,64.47945
T,0.01066589,64.49539
T,0.005310059,64.50613
T,0.01487732,64.53085
T,0.009460449,64.54593
T,0.02767944,64.58054
T,0.0111084,64.59851
T,0.009811401,64.61249
T,0.008590698,64.62688
T,0.009979248,64.6398
T,0.01171875,64.66142
T,0.01165771,64.67897
T,0.01158142,64.6936
T,0.004364014,64.70686
T,0.01051331,64.72885
T,0.007232666,64.74188
T,0.008682251,64.75946
T,0.007125854,64.77094
T,0.004364014,64.78853
T,0.01182556,64.81226
T,0.03979492,64.85789
T,0.04077148,64.91051
T,0.0118103,64.92809
T,0.02372742,64.96176
T,0.02346802,64.99098
T,0.005844116,65.00832
T,0.01734924,65.03865
T,0.01168823,65.06482
T,0.01864624,65.08923
T,0.03993225,65.14491
T,0.01144409,65.16508
T,0.02128601,65.19203
T,0.02688599,65.22749
T,0.02865601,65.26199
T,0.02191162,65.28937
T,0.02987671,65.32547
T,0.005737305,65.33896
T,0.005981445,65.36247
T,0.01164246,65.37996
T,0.01031494,65.39172
T,0.004379272,65.40857
T,0.005859375,65.42581
T,0.005630493,65.43713
T,0.01107788,65.45944
T,0.02931213,65.48875
T,0.01126099,65.51123
T,0.01116943,65.52797
T,0.005462646,65.53903
T,0.01142883,65.56163
T,0.01133728,65.57869
T,0.005569458,65.5898
T,0.005523682,65.60815
T,0.02810669,65.64893
T,0.00692749,65.66013
T,0.005508423,65.6713
T,0.005554199,65.68924
T,0.01119995,65.71159
T,0.01229858,65.7281
T,0.01246643,65.74606
T,0.01802063,65.76408
T,0.005615234,65.77519
T,0.02316284,65.81322
T,0.01611328,65.84254
T,0.005142212,65.85938
T,0.00819397,65.8764
T,0.005340576,65.88727
T,0.03277588,65.92725
T,0.00579834,65.93883
T,0.01272583,65.9642
T,0.005661011,65.97556
T,0.03315735,66.01158
T,0.0116272,66.02888
T,0.02279663,66.05739
T,0.02148438,66.09602
T,0.02992249,66.1317
T,0.0239563,66.161
T,0.01069641,66.17885
T,0.02622986,66.21094
T,0.0115509,66.22823
T,0.00579834,66.23978
T,0.01158142,66.26149
T,0.008499146,66.27281
T,0.005737305,66.28992
T,0.02868652,66.33162
T,0.01019287,66.35458
T,0.01187134,66.39407
T,0.00440979,66.40871
T,0.005706787,66.42018
T,0.006896973,66.43808
T,0.00958252,66.46297
