S,0
T,0.003692627,12.60526
CR,4.251877,12.61238
T,0.01956177,12.63318
T,0.02339172,12.66141
T,0.007324219,12.68355
T,0.005126953,12.71683
T,0.012146,12.74014
T,0.01139832,12.75795
T,0.01412964,12.77467
T,0.006500244,12.78381
T,0.1927643,13.81221
CR,3.269211,18.02557
CR,3.605591,26.7435
R,3.880264,31.15237
R,1.818375,34.43646
R,1.970276,37.65056
T,0.01292419,45.78128
T,0.01708984,45.82599
T,0.01074219,47.00705
T,0.01193237,47.02504
T,0.01087952,47.04097
T,0.01286316,47.14134
R,0.9257813,48.05305
T,0.007553101,48.06314
T,0.01795959,48.11317
T,0.005828857,48.52278
R,0.9796906,49.49301
T,0.01202393,49.50504
R,1.524109,51.03542
T,0.1775665,59.93927
T,0.3424072,60.45731
T,0.2980042,60.94522
T,0.2553558,61.44551
T,0.1332245,61.69426
CR,0.8719025,64.28589
CR,1.870468,67.18309
CR,0.8769226,79.71974
CR,6.035782,94.82243
CR,2.162918,97.62442
CR,1.551025,101.3157
CR,3.29454,106.1783
T,1.123535,114.7103
T,1.316895,117.0659
CR,0.9150085,127.7161
R,3.094757,132.3214
CR,1.085358,134.6266
CR,0.8547363,138.8565
R,2.465118,142.2993
CR,1.949066,149.8666
T,0.01092529,154.5198
T,0.04458618,154.581
T,0.04086304,154.6219
T,0.02880859,154.6756
T,0.00894165,154.7522
T,0.006378174,154.7586
T,0.02688599,154.7855
T,0.007598877,154.8021
T,0.02005005,154.9075
T,0.008850098,154.9898
T,0.02770996,155.1149
T,0.01330566,155.264
T,0.02780151,155.3859
R,0.8604431,156.2451
T,0.007324219,156.2536
T,0.2554321,156.6578
CR,2.324982,159.4476
S,1
RUNTIME,176.9964
