2,8,Time5-Task3
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,Checkpoint7,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
26.80122,0,0,0,0,0,0,1,1,0.05732334,0.7368126,-0.06297264,0.6707128,0,0,0,0,4.551099,5.462435,5.296402,5.070894,4.618677,4.293447,4.03986,4.624526,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
26.84984,0,0,0,1.129782E-09,-1.722754E-08,8.114976E-09,1,1,0.05732334,0.7368127,-0.06297264,0.6707128,0,0,0,0,159.2885,191.1852,185.3741,177.4812,161.6537,150.2706,141.3951,161.8584,0,1,0,0,0,8.608814E-10,-8.367752E-09,1.015447E-08,1,1,0,0,0,1,1,1,0,0,0,6.20299E-10,-9.274759E-09,2.330753E-09,1,1,0,0,0,1
26.90033,0,0,0,4.55845E-09,-2.872667E-08,-5.140875E-09,1,1,0.05732334,0.7368126,-0.06297264,0.6707129,0,0,0,0,172.9418,207.5725,201.2633,192.6939,175.5098,163.151,153.5147,175.732,0,1,0,0,0,1.483225E-09,-4.881094E-09,-7.086328E-09,1,1,0,0,0,1,1,1,0,0,0,1.594041E-09,-6.203071E-09,-1.053979E-08,1,1,0,0,0,1
26.95014,0,0,0,7.392676E-09,-3.535659E-08,-3.748536E-08,1,1,0.05732333,0.7368127,-0.06297264,0.6707128,0,0,0,0,168.3907,202.11,195.9669,187.623,170.8911,158.8575,149.4749,171.1075,0,1,0,0,0,1.352951E-09,-4.480126E-09,-1.373794E-08,1,1,0,0,0,1,1,1,0,0,0,1.481272E-09,-2.149799E-09,-1.860653E-08,1,1,0,0,0,1
27.00003,0,0,0,1.018122E-08,-4.653539E-08,-5.112577E-08,1,1,0.05732332,0.7368126,-0.06297261,0.6707129,0,0,0,0,168.3907,202.11,195.9669,187.623,170.8911,158.8575,149.4749,171.1075,0,1,0,0,0,1.394271E-09,-5.589406E-09,-6.820197E-09,1,1,0,0,0,1,1,1,0,0,0,1.394271E-09,-5.589406E-09,-6.820197E-09,1,1,0,0,0,1
27.05015,0,0,0,9.997406E-09,-1.730687E-08,-1.165367E-07,1,1,0.0573233,0.7368126,-0.0629726,0.6707128,0,0,0,0,168.3907,202.11,195.9669,187.623,170.8911,158.8575,149.4749,171.1075,0,1,0,0,0,1.405453E-11,1.390212E-08,-3.110931E-08,1,1,0,0,0,1,1,1,0,0,0,-1.978688E-10,1.53264E-08,-3.430161E-08,1,1,0,0,0,1
27.09974,0,0,0,1.12744E-08,2.328239E-08,-1.778571E-07,1,1,0.0573233,0.7368126,-0.06297259,0.6707128,0,0,0,0,168.3907,202.11,195.9669,187.623,170.8911,158.8575,149.4749,171.1075,0,1,0,0,0,6.009782E-10,1.891179E-08,-3.088077E-08,1,1,0,0,0,1,1,1,0,0,0,6.76012E-10,2.167747E-08,-3.04396E-08,1,1,0,0,0,1
27.15002,0,0,0,1.007852E-08,4.985512E-08,-2.065726E-07,1,1,0.05732327,0.7368125,-0.06297256,0.6707129,0,0,0,0,168.3907,202.11,195.9669,187.623,170.8911,158.8575,149.4749,171.1075,0,1,0,0,0,-7.112275E-10,1.274802E-08,-1.238586E-08,1,1,0,0,0,1,1,1,0,0,0,-4.846533E-10,1.382468E-08,-1.632956E-08,1,1,0,0,0,1
27.20026,0,0,0,4.304808E-09,6.382151E-08,-2.562662E-07,1,1,0.05732327,0.7368126,-0.06297256,0.6707129,0,0,0,0,168.3907,202.11,195.9669,187.623,170.8911,158.8575,149.4749,171.1075,0,1,0,0,0,-2.809906E-09,7.648079E-09,-2.329162E-08,1,1,0,0,0,1,1,1,0,0,0,-2.963815E-09,6.318317E-09,-2.640192E-08,1,1,0,0,0,1
27.25015,0,0,0,-3.875701E-10,6.141168E-08,-3.306157E-07,1,1,0.05732325,0.7368126,-0.06297253,0.6707129,0,0,0,0,168.3907,202.11,195.9669,187.623,170.8911,158.8575,149.4749,171.1075,0,1,0,0,0,-2.730595E-09,-1.513052E-09,-3.55748E-08,1,1,0,0,0,1,1,1,0,0,0,-1.961789E-09,-8.967737E-10,-3.877467E-08,1,1,0,0,0,1
