S,0
T,0.5450897,0.5743713
T,0.8994751,4.66008
T,0.09489441,5.609177
T,0.0110321,5.620209
T,0.007843018,5.628052
T,0.02957153,5.657623
T,0.003219604,5.67981
T,0.007766724,5.709183
T,0.01739502,5.731262
T,0.009414673,5.764053
T,0.004730225,5.776627
T,0.006378174,5.787628
T,0.01113892,5.825562
T,0.01077271,5.836334
T,0.01786804,5.854202
T,0.02256775,5.87677
T,0.01274109,5.899124
T,0.0193634,5.918488
T,0.003372192,5.926758
T,0.009872437,5.941498
T,0.006759644,5.956329
T,0.01139832,5.979248
T,0.03894043,6.024414
T,0.03424072,6.070099
T,0.01269531,6.082794
T,0.006210327,6.093765
T,0.006256104,6.104782
T,0.006378174,6.11908
T,0.009460449,6.14296
T,0.004684448,6.157089
T,0.02807617,6.215256
T,0.02677917,6.253265
T,0.009628296,6.26915
T,0.03482056,6.317017
T,0.02857971,6.363739
T,0.009521484,6.575684
T,0.004730225,6.586716
T,0.00491333,6.610443
T,0.05230713,6.66275
T,0.007919312,6.67067
T,0.006378174,6.677048
T,0.02894592,6.70929
T,0.01934814,6.728638
T,0.004714966,6.733353
T,0.007888794,6.747726
T,0.01794434,6.781845
T,0.01271057,6.810471
T,0.00642395,6.865005
T,0.006469727,6.892395
T,0.01455688,6.906952
T,0.004821777,6.911774
T,0.04248047,6.954254
CR,2.183075,9.140366
CR,1.61615,10.76134
T,0.9315948,13.43945
T,0.8636475,14.52156
T,1.276093,16.55026
CR,2.219315,19.64568
T,4.473022,25.7719
T,0.1717224,26.01048
T,0.7545166,27.08095
R,1.477631,32.68791
T,0.02360535,32.71494
T,0.01501465,32.72995
T,0.02398682,32.76076
T,0.003311157,32.80446
T,0.014328,32.86545
T,0.0144043,32.91068
T,0.01220703,32.92288
T,0.006195068,32.92908
T,0.02198792,32.96576
T,0.005065918,32.97418
T,0.02554321,33.00809
T,0.005096436,33.03693
T,0.00378418,33.10597
T,0.01191711,33.12613
T,0.0171051,33.16371
T,0.004867554,33.17355
R,3.901978,37.06047
CR,1.413071,45.46541
T,1.43483,49.38704
CR,1.046448,51.3838
T,1.509506,56.41866
CR,3.019455,59.78268
R,1.493576,67.17346
CR,5.072403,75.06094
S,1
CR,1.978485,87.42393
CR,1.681763,90.06116
T,0.2136536,90.74637
T,0.9870605,92.33424
T,0.9207764,93.39056
CR,1.334702,95.68307
CR,2.447037,98.24709
T,1.265442,106.6466
T,2.441254,109.5465
T,0.9090576,112.4105
R,2.204315,123.4902
T,0.9781189,125.3588
CR,3.619873,131.3217
R,1.659485,139.2473
CR,1.498932,143.0269
R,6.125,152.3898
CR,1.523041,155.9041
S,2
RUNTIME,159.1812
