4,2,25-Task1
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
716.1601,0,0,0,1.233782E-07,3.733693E-07,-1.124319E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,125.65,144.1105,0,1,0,0,0,1.299302E-09,1.253769E-08,7.667505E-09,1,1,0,0,0,1,1,1,0,0,0,4.368569E-10,1.109416E-08,4.034615E-09,1,1,0,0,0,1,2,1,0,0,0,9.308346E-10,1.044359E-08,7.7912E-09,1,1,0,0,0,1,3,1,0,0,0,1.753835E-10,1.065224E-08,1.482072E-10,1,1,0,0,0,1
716.2102,0,0,0,1.257861E-07,4.066062E-07,-1.187828E-07,1,1,0.0710528,0.7416701,-0.07957654,0.662227,0,0,0,0,130.676,149.875,0,1,0,0,0,-2.175868E-11,9.375691E-09,-4.858915E-09,1,1,0,0,0,1,1,1,0,0,0,4.167197E-10,6.625359E-09,-3.954433E-09,1,1,0,0,0,1,2,1,0,0,0,1.540638E-09,8.51081E-09,3.564865E-09,1,1,0,0,0,1,3,1,0,0,0,4.722189E-10,8.725124E-09,-1.10233E-09,1,1,0,0,0,1
716.261,0,0,0,1.20239E-07,4.515136E-07,-1.893916E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,135.702,155.6394,0,1,0,0,0,-1.584908E-09,1.283074E-08,-2.017391E-08,1,1,0,0,0,1,1,1,0,0,0,-1.205969E-09,8.152754E-09,-1.668952E-08,1,1,0,0,0,1,2,1,0,0,0,-9.758923E-10,1.620758E-08,-1.614514E-08,1,1,0,0,0,1,3,1,0,0,0,-1.78041E-09,7.716501E-09,-1.760013E-08,1,1,0,0,0,1
716.3103,0,0,0,1.266865E-07,4.681735E-07,-1.677696E-07,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,130.676,149.875,0,1,0,0,0,1.431817E-09,4.758864E-09,4.716771E-09,1,1,0,0,0,1,1,1,0,0,0,1.925795E-09,4.108297E-09,8.473355E-09,1,1,0,0,0,1,2,1,0,0,0,1.86588E-09,3.475729E-09,7.607662E-09,1,1,0,0,0,1,3,1,0,0,0,1.224017E-09,4.316946E-09,8.242687E-10,1,1,0,0,0,1
716.361,0,0,0,1.155783E-07,4.738937E-07,-1.914189E-07,1,0.9518466,0.07105279,0.7416701,-0.07957653,0.662227,0,0,0,0,130.3814,149.5908,0,1,0,0,0,-3.068421E-09,1.764428E-09,-7.813849E-09,1,0.9518466,0,0,0,1,1,1,0,0,0,-2.979694E-09,1.746428E-09,-7.767367E-09,1,1,0,0,0,1,2,1,0,0,0,-2.485717E-09,1.095861E-09,-4.010783E-09,1,1,0,0,0,1,3,1,0,0,0,-2.574443E-09,1.113861E-09,-4.057265E-09,1,1,0,0,0,1
716.4103,0,0,0,1.157317E-07,4.820811E-07,-1.710341E-07,1,0.8705984,0.07105279,0.7416701,-0.07957654,0.662227,0,0,0,0,123.9735,142.4936,0,1,0,0,0,1.222667E-10,2.414128E-09,5.198044E-09,1,0.9146416,0,0,0,1,1,1,0,0,0,1.222667E-10,2.414128E-09,5.198044E-09,1,1,0,0,0,1,2,1,0,0,0,3.052781E-10,2.588896E-09,3.736953E-09,1,1,0,0,0,1,3,1,0,0,0,-3.963949E-10,7.701429E-10,6.251749E-09,1,1,0,0,0,1
716.4611,0,0,0,1.101588E-07,5.054815E-07,-1.178629E-07,1,0.7631761,0.07105279,0.7416701,-0.07957654,0.662227,0,0,0,0,127.1521,146.4774,0,1,0,0,0,-1.635259E-09,7.055073E-09,1.565913E-08,1,0.8766109,0,0,0,1,1,1,0,0,0,-1.151177E-09,4.645126E-09,1.092645E-08,1,1,0,0,0,1,2,1,0,0,0,-1.452248E-09,7.229841E-09,1.419803E-08,1,1,0,0,0,1,3,1,0,0,0,-1.517199E-09,4.295589E-09,1.384863E-08,1,1,0,0,0,1
716.5113,0.002306843,0.004200882,0.007620215,1.122837E-07,5.012128E-07,-4.055353E-08,1,0.7244292,0.07103799,0.741636,-0.07955116,0.6622698,0,0,0,0,120.8043,139.44,0,1,0,0,0,2.166421E-10,-1.331001E-09,1.965642E-08,1,0.9492294,0,0,0,1,1,1,0,0,0,1.666542E-09,-5.270431E-10,2.576546E-08,1,1,0,0,0,1,2,1,0.005838817,0.01077405,0.01840577,-1.579311E-10,-1.254454E-09,1.369219E-08,1,1,0,0,0,1,3,1,0,0,0,5.826647E-10,-9.814648E-10,1.673424E-08,1,1,0,0,0,1
716.5616,0.01575782,0.03030064,0.04447932,1.157365E-07,4.919225E-07,-5.900036E-08,1,0.7075138,0.07079257,0.7412243,-0.07916863,0.6628026,0,0,0,0,115.0534,132.9873,0,1,0,0,0,7.821001E-10,-4.419351E-09,-3.880209E-09,1,0.97665,0,0,0,1,1,1,0,0,0,9.444799E-10,-1.910172E-09,-5.355902E-09,1,1,0,0,0,1,2,1,0.01859067,0.03647614,0.05070866,9.444799E-10,-1.910172E-09,-5.355902E-09,1,1,0,0,0,1,3,1,0,0,0,7.816142E-10,-1.050754E-09,-3.85482E-09,1,1,0,0,0,1
716.6118,0.03688493,0.07165516,0.1111421,1.131429E-07,4.423362E-07,-4.599556E-08,1,0.7075138,0.07014991,0.7401173,-0.07816494,0.6642256,0,0,0,0,104.5249,121.0282,0,1,0,0,0,-6.480835E-10,-1.458853E-08,5.012216E-09,1,1,0,0,0,1,1,1,0,0,0,-8.09457E-10,-1.221309E-08,4.610393E-09,1,1,0,0,0,1,2,1,0.02162001,0.04244971,0.07191145,-4.878054E-10,-8.196224E-09,-1.629984E-09,1,1,0,0,0,1,3,1,0,0,0,-6.480835E-10,-1.458853E-08,5.012216E-09,1,1,0,0,0,1
