S,0
T,0.2194977,0.3787537
T,0.2077789,2.037582
T,0.406662,2.471344
T,0.08998108,2.565384
T,0.08903503,2.666031
T,0.1024475,2.992447
T,0.5244293,3.912918
T,0.2837524,4.917084
T,0.1120605,11.80853
T,0.1120911,12.26663
T,0.8310699,13.46678
T,0.6207733,15.07896
T,0.2925873,15.79024
T,0.1166229,17.06725
T,0.5195465,18.37299
T,1.017349,19.71838
T,0.1083069,19.87813
T,0.276123,20.29684
T,0.1127319,20.52953
T,0.758728,21.3517
T,0.9652557,22.5502
T,0.01347351,22.63182
T,0.02296448,22.66219
T,0.004852295,22.67569
T,0.007446289,22.71257
T,0.01072693,22.72929
T,0.007446289,23.14233
T,0.0050354,23.17262
T,0.01086426,23.34705
T,0.008514404,23.37405
T,0.04382324,23.74464
T,0.008728027,24.46017
T,0.02726746,24.49652
T,0.01434326,24.52614
T,0.02609253,24.55861
T,0.006149292,24.60977
T,0.01020813,25.16313
T,0.003631592,25.25659
T,0.00617981,25.27267
T,0.01004028,25.31253
T,0.008758545,25.40892
T,0.004653931,25.81178
T,0.00630188,26.22227
T,0.008514404,26.51131
T,0.01589966,26.65894
T,0.006134033,26.67104
T,0.01203918,26.69391
T,0.01083374,26.71068
T,0.01327515,26.72762
T,0.006103516,28.12183
R,2.325989,29.04984
T,0.3943481,29.79584
T,0.2244415,30.06248
T,0.1156311,30.66531
T,0.1681061,31.26895
T,0.2977448,31.94923
T,0.1728821,32.92142
T,0.1955872,33.59419
T,0.3540649,34.52869
T,0.1388855,34.7381
T,0.128891,34.89685
T,0.01060486,34.93211
T,0.006668091,34.97815
T,0.01089478,35.0132
T,0.01383972,35.03262
T,0.0052948,35.06013
T,0.006698608,35.07224
T,0.009399414,35.09105
T,0.009307861,35.19402
T,0.01234436,35.90393
T,0.0135498,35.96564
T,0.005584717,37.84508
T,0.005615234,37.92259
R,1.994461,37.95053
T,0.009719849,37.96161
T,0.01219177,38.12805
T,0.2125092,38.49797
T,0.1254883,39.24533
T,0.3246002,39.72083
T,0.3842773,40.10921
T,0.1309204,40.28362
T,0.1791382,43.56924
T,0.1575928,43.84616
T,0.4077911,44.28557
T,0.5666351,45.56892
T,0.1498108,46.13835
T,0.1147461,47.38419
T,0.2379761,48.48705
T,0.14328,49.02312
T,0.1880951,49.4281
T,0.1493225,51.41565
T,0.1367493,51.55913
T,0.1531372,58.42851
T,0.1472015,58.698
T,0.110672,58.89487
T,0.1240387,59.47514
T,0.004501343,59.57106
T,0.006011963,59.58775
R,1.234634,60.79539
T,0.02635193,60.82175
T,0.01217651,60.98425
T,0.006149292,62.98805
T,0.003662109,63.12228
R,2.158585,63.13687
T,0.008575439,63.14655
R,0.9398956,64.18129
T,0.004837036,66.29141
R,2.130768,66.31697
T,0.02407837,66.34238
T,0.006057739,66.6098
T,0.006271362,67.85124
R,2.193527,68.8007
T,0.0118103,68.81157
T,0.00491333,68.8226
T,0.02435303,68.85709
T,0.01202393,68.97607
T,0.01083374,69.01247
T,0.003631592,69.02461
T,0.2246399,69.33859
T,0.2201233,69.57759
T,0.005783081,69.61937
T,0.01098633,69.76093
T,0.02720642,70.01547
T,0.007354736,70.25478
T,0.01589966,70.29898
T,0.01118469,70.39328
T,0.3587189,71.07727
T,0.3697662,71.48389
T,0.006973267,71.519
T,0.006256104,71.55186
T,0.008346558,71.57216
R,1.967468,73.50435
T,0.1103363,74.2632
T,0.2069244,75.82791
T,0.1486816,81.36969
T,0.4930725,84.31146
T,0.1441956,84.70889
T,0.1073456,85.23001
T,0.1370392,85.40425
T,0.1183929,87.01421
T,0.7564392,89.4549
T,1.007111,103.7105
T,0.05957031,103.8302
T,0.1669006,104.7388
T,0.08612061,104.9391
T,0.1633301,105.6619
T,0.1493225,106.3481
T,0.1113281,106.6392
T,0.2487793,111.8886
T,0.1741638,118.7443
T,0.4414368,119.2487
T,0.8130188,120.4161
T,0.1168823,122.5469
T,0.6539307,123.217
T,0.2214966,123.4485
T,0.2985535,123.7662
T,0.2063599,127.3699
T,0.2842712,128.7839
T,0.1615601,129.6379
S,1
T,0.1167908,130.8333
T,0.5214233,131.6199
T,0.1924438,132.0891
RUNTIME,141.3501
