S,0
T,0.6615067,3.043709
T,0.1674957,3.311989
T,0.02170563,3.721649
T,0.002037048,3.737228
T,0.01935577,3.804138
T,0.02088165,3.82502
T,0.01097107,3.835991
T,0.02476501,3.860756
T,0.0116806,3.878403
T,0.004997253,3.88842
T,0.0122757,3.948494
T,0.01397705,3.962471
T,0.04660034,4.028481
T,0.001029968,4.098602
T,0.01024628,4.125229
T,0.002952576,4.135132
T,0.00818634,4.163658
CR,3.11364,6.987953
CR,1.695175,9.183899
R,2.175079,14.05828
R,6.541321,21.24001
R,1.17215,22.83649
R,1.069626,25.56785
R,1.011322,28.85294
R,1.171234,30.63293
R,2.151016,34.64419
T,2.480881,38.21458
T,0.9815826,39.40554
T,0.3847961,39.82529
T,0.3187408,40.29095
CR,2.282257,43.96369
R,1.816864,47.80807
T,1.466339,58.0835
T,0.1133575,58.21984
T,0.2543945,58.66222
T,0.5699615,61.52602
T,0.4131317,62.02128
T,0.1689606,62.40305
T,0.2596893,62.70733
T,1.072906,63.94289
CR,1.104691,65.65391
T,1.276779,69.29415
T,0.1275482,69.62791
T,0.5405884,71.39103
CR,1.893417,75.8832
T,0.4147797,78.79452
T,0.3991089,79.23214
T,0.3692322,79.75275
S,1
T,0.4946289,81.47895
T,0.1981201,81.70043
CR,1.611832,87.22288
T,0.4396057,88.61762
T,0.262146,89.00509
T,0.3346863,89.48092
T,0.23703,89.732
T,0.1943359,90.05738
T,0.1989594,90.4564
T,0.1867523,90.72598
T,0.2705536,91.13747
T,0.1956787,91.47897
T,0.2262421,91.80337
T,1.755341,98.83425
R,2.34314,102.1364
R,0.9911499,110.1375
R,3.127289,113.8636
R,1.538803,118.4956
R,0.9487915,125.2894
R,0.8691635,128.856
R,1.645782,137.3692
R,1.167542,139.3384
R,2.2836,142.6054
R,1.319641,144.7195
R,1.073059,146.4433
CR,1.105286,149.6837
R,1.599365,152.2632
T,1.840302,154.9913
T,1.173065,157.1078
CR,0.9887695,158.5837
R,1.637756,161.7236
T,3.272583,166.6546
T,0.125824,166.8242
R,3.039948,170.6998
T,1.725098,172.7823
T,1.116272,175.7106
T,0.123291,175.9044
S,2
RUNTIME,176.9274
