S,0
CR,7.904404,11.08253
CR,3.653915,15.74158
T,1.436584,25.49266
T,1.351074,27.09836
T,2.187805,29.62973
T,1.069656,31.0419
T,3.030533,39.18286
CR,1.56395,43.88376
CR,1.454208,46.24438
R,4.973755,56.81955
R,1.188065,67.11205
S,1
CR,2.883865,73.5835
CR,1.697296,77.34402
CR,1.243027,79.24306
T,1.158875,82.57285
T,0.5261993,83.28705
T,0.4650726,83.93532
T,0.5502167,84.58583
T,0.4715576,86.31949
T,0.3299561,86.77124
T,0.3171844,87.2529
T,0.4378357,87.83876
R,1.077332,91.20787
R,0.9931335,100.2032
T,1.425018,113.9316
T,1.187286,115.3443
R,1.282211,117.1573
CR,1.408813,118.9429
CR,1.375732,122.0806
CR,1.392212,123.9065
R,2.065338,127.5869
T,2.140656,130.3654
T,1.076843,131.8578
CR,2.055878,135.6027
T,1.497589,139.1088
T,0.488739,139.694
T,0.3271484,140.1062
R,1.369415,142.1771
CR,1.60965,145.5426
CR,0.9407043,146.8616
S,2
RUNTIME,150.7205
