5,3,Ching and Liu-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
817.5866,0.977,-0.187,-1.75,5.002229E-07,1.926801E-07,7.243278E-08,1,1,0.1635778,0.08042083,-0.01338044,0.983156,0,0,0,0,3.331396,2.74838,0.9258119,0,1,0,0,0,6.047743E-08,1.523446E-08,-1.080411E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,5.984751E-09,8.390801E-09,8.351837E-09,1,1,0,0,0,1,3,1,0,0,0,4.662884E-08,7.925982E-09,-1.583217E-09,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
817.6348,0.977,-0.187,-1.75,5.667009E-07,2.033795E-07,7.969635E-08,1,1,0.1635833,0.0804318,-0.01338274,0.9831542,0,0,0,0,3.331396,2.74838,0.9258119,0,1,0,0,0,1.411368E-08,-4.238842E-08,-8.229521E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,1.74435E-08,1.056088E-08,8.922232E-10,1,1,0,0,0,1,3,1,0,0,0,1.675522E-08,3.074302E-08,9.482784E-09,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
817.6842,0.977,-0.187,-1.75,5.035977E-07,1.751357E-07,8.66504E-08,1,1,0.1635866,0.0804383,-0.01338411,0.9831531,0,0,0,0,3.331396,2.74838,0.9258119,0,1,0,0,0,2.400454E-08,1.537597E-09,2.058818E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,9.933395E-09,1.921325E-08,6.211327E-09,1,1,0,0,0,1,3,1,0,0,0,-9.512111E-08,-4.602102E-08,-2.185552E-09,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
817.7344,0.977,-0.187,-1.75,4.989905E-07,1.611951E-07,9.646607E-08,1,1,0.1635886,0.08044218,-0.01338492,0.9831524,0,0,0,0,3.331396,2.74838,0.9258119,0,1,0,0,0,2.861799E-08,-2.382498E-09,-1.056005E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,1,3,1,0,0,0,-3.322516E-08,-1.155823E-08,1.08716E-08,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
817.7844,0.977,-0.187,-1.75,5.661349E-07,1.573606E-07,5.059405E-08,1,1,0.1635897,0.08044445,-0.0133854,0.983152,0,0,0,0,3.331396,2.74838,0.9258119,0,1,0,0,0,1.676609E-08,-3.119858E-08,-1.175794E-08,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,1.880802E-08,5.836358E-08,-1.261824E-08,0.9999991,1,0,0,0,1,3,1,0,0,0,5.106279E-09,9.478262E-09,-7.130363E-09,0.9999997,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
817.8371,0.977,-0.187,-1.75,6.148682E-07,1.940003E-07,4.769531E-08,1,1,0.1635904,0.08044579,-0.01338569,0.9831519,0,0,0,0,3.331396,2.74838,0.9258119,0,1,0,0,0,1.243459E-08,2.69064E-08,3.675551E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,3.274264E-09,1.629708E-08,3.0733E-09,1,1,0,0,0,1,3,1,0,0,0,1.258283E-08,-3.700816E-08,-1.430995E-08,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
817.8842,0.977,-0.187,-1.75,5.704581E-07,1.345608E-07,2.131078E-08,1,1,0.1635908,0.08044661,-0.01338586,0.9831517,0,0,0,0,3.331396,2.74838,0.9258119,0,1,0,0,0,-1.691451E-08,-1.226861E-08,-3.930626E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,-1.691451E-08,-1.226861E-08,-3.930626E-09,1,1,0,0,0,1,3,1,0,0,0,4.119561E-09,-1.848144E-08,-1.179243E-08,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
817.9359,0.977,-0.187,-1.75,5.547518E-07,1.29015E-07,3.386573E-08,1,1,0.1635911,0.08044709,-0.01338596,0.9831516,0,0,0,0,3.331396,2.74838,0.9258119,0,1,0,0,0,-4.800928E-08,1.53818E-10,1.195984E-08,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,1,3,1,0,0,0,1.769253E-08,7.074544E-09,5.872171E-09,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
817.9844,0.977,-0.187,-1.75,5.493062E-07,1.314077E-07,3.608749E-08,1,1,0.1635912,0.08044738,-0.01338602,0.9831516,0,0,0,0,3.331396,2.74838,0.9258119,0,1,0,0,0,-1.483983E-08,4.01115E-09,3.84581E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,1,3,1,0,0,0,-1.227276E-08,4.019928E-09,4.025575E-09,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
818.0357,0.977,-0.187,-1.75,7.204741E-07,4.139887E-08,-2.057817E-08,1,1,0.1635913,0.08044755,-0.01338605,0.9831516,0,0,0,0,3.331396,2.74838,0.9258119,0,1,0,0,0,3.223892E-08,1.153525E-08,6.094336E-09,0.9999997,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,9.619909E-08,-4.286509E-08,-3.991332E-08,1,1,0,0,0,1,3,1,0,0,0,1.761732E-08,-5.809366E-08,-1.882909E-08,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
