S,0
T,0.008422852,6.177704
T,0.005767822,6.191772
CR,1.597382,6.205338
T,0.02806091,6.232407
T,0.006713867,6.249435
T,0.03800964,6.294113
T,0.01013184,6.312012
T,0.01116943,6.336563
T,0.01133728,6.35347
T,0.01107788,6.384705
T,0.00340271,6.391525
T,0.01753235,6.453857
T,0.02183533,6.486755
T,0.005737305,6.534134
T,0.006790161,6.560104
T,0.003311157,6.594696
T,0.01116943,6.61702
T,0.004470825,6.627075
T,0.005554199,6.645004
T,0.007751465,6.661652
T,0.01228333,6.68399
T,0.01446533,6.72197
T,0.006576538,6.745193
T,0.1166534,7.859192
T,0.2288818,8.231094
T,0.006851196,8.244843
T,0.004486084,8.277985
T,0.00920105,8.300751
T,0.005691528,8.312088
T,0.0113678,8.340424
T,0.005706787,8.350723
T,0.004623413,8.365631
T,0.4653625,14.40401
T,0.8802948,16.5097
T,0.1039429,17.05103
T,0.4495392,17.68071
T,0.5891266,18.50972
T,0.3514252,19.10953
T,0.5639954,19.94238
T,0.7908173,34.15695
T,0.1159821,35.28653
T,0.7292786,40.02838
T,0.2676392,40.42039
T,0.2470551,40.82997
T,0.2700195,41.34341
T,1.220734,43.342
T,0.1129456,43.79092
T,0.9516144,47.20097
T,0.8011017,48.71362
T,0.110199,49.12828
T,0.5990601,50.81416
T,1.104294,52.284
R,2.858932,56.21756
R,2.155273,60.50302
R,2.750519,65.45074
R,4.826599,72.43285
T,0.02566528,77.89288
T,0.003845215,77.90446
T,0.01142883,77.94516
T,0.004135132,77.97913
T,0.007446289,78.01996
T,0.01065063,78.07045
T,0.006515503,78.07697
T,0.01045227,78.24854
T,0.003921509,78.52332
T,0.03292847,78.56281
T,0.01445007,78.57855
T,0.02862549,78.61237
T,0.005264282,78.6256
T,0.02905273,78.66389
T,0.009140015,78.74503
T,0.004104614,78.75856
T,0.01220703,78.79895
T,0.01168823,78.87904
T,0.01863098,78.92307
T,0.02888489,78.96248
T,0.01168823,78.98192
T,0.01553345,79.0161
T,0.02394104,79.06955
T,0.01200867,79.1109
T,0.1509094,79.45137
R,2.726364,85.52995
T,0.005325317,91.35376
CR,1.889206,91.36453
T,0.01210022,91.3766
T,0.02400208,91.40741
T,0.01513672,91.42532
T,0.004058838,91.43477
T,0.02577209,91.46872
T,0.004165649,91.48628
T,0.006668091,91.54019
T,0.03991699,91.63058
T,0.002700806,91.63603
T,0.008163452,91.65797
T,0.008026123,91.67809
T,0.0138092,91.69873
T,0.005508423,91.71242
T,0.006851196,91.72609
T,0.01501465,91.74382
T,0.004104614,91.7574
T,0.01080322,91.78574
CR,1.606033,94.53479
S,1
T,0.006546021,102.9017
CR,1.546982,102.914
T,0.02908325,102.9427
T,0.007904053,102.9561
T,0.0133667,102.9762
T,0.02003479,103.0042
T,0.0052948,103.0709
T,0.00881958,103.0969
T,0.0025177,103.1055
T,0.01399231,103.1348
T,0.01553345,103.1503
T,0.01039124,103.3276
T,0.01660156,103.3442
T,0.02308655,103.3814
T,0.007995605,103.437
T,0.1250305,104.2888
T,2.905792,110.3681
T,0.2469177,118.7547
T,2.392761,123.237
T,0.3889771,123.9921
T,0.4761658,126.4168
T,0.3853149,126.943
T,1.977631,129.074
R,1.122711,132.931
CR,2.135468,136.1852
CR,5.243256,142.0019
CR,1.699707,144.7903
T,0.01159668,145.423
T,0.00491333,145.4361
T,0.00491333,145.4706
T,0.001617432,145.5755
T,0.02844238,145.6165
T,0.01449585,145.6456
T,0.0345459,145.6801
T,0.01806641,145.8307
CR,1.880768,147.7156
R,1.319977,154.7726
T,3.379303,175.4125
S,2
RUNTIME,181.6608
