,U1Trans,U1Rot,U1Scale,U1Cam,U2Trans,U2Rot,U2Scale,U2Cam,U3Trans,U3Rot,U3Scale,U3Cam,U1,U2,U3,,T,R,S,C,
4,0.0301274623,0.315179606,0.0185399768,0,0.1645422943,0,0.1216685979,0.0150637312,0.5225955968,0,0.0243337196,0,0.0282306773,0.007285928,0.0869938643,0.1225104697,0.064799063,0.033112728,0.0033571931,7.56386658886178E-05,0.1012689841
5,0.0691983122,0.2725738397,0.1198312236,0.0396624473,0.2784810127,0,0.0109704641,0.0345991561,0.352742616,0,0.0151898734,0.1510548523,0.0112092673,0.0248723199,0.0397666566,0.0758482437,0.0216185678,0.0247654994,0.0038030468,0.004332639,0.0501871139
6,0.0132969656,0.0003409478,0.103307194,0.2921922946,0.4616433686,0,0,0,0.0037504262,0.2509376065,0.0075008524,0.0593249233,0.0031452912,0.0710381999,0.0200628368,0.094246328,0.06846193,0.020961414,0.0033179157,0.0238538327,0.0927412597
7,0.3391442155,0.0015847861,0.0633914422,0.0618066561,0.6973058637,0.0031695721,0,0,0.1299524564,0.1045958796,0.0713153724,0,0.0323010038,0.1613451175,0.0008648093,0.1945109307,0.0823218078,0.0034835155,0.0015278577,0.0012733542,0.087333181
,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
1,0.5638297872,0.0222437137,0.0290135397,0.1247582205,0.0560928433,0.1769825919,0.0473887814,0.0705996132,0.1063829787,0,0.082205029,0,0.096564954,0.0052474413,0.0031099297,0.104922325,0.0782639141,0.0092936235,0.0007298592,0.003913679,0.0882873968
2,0.253214639,0.0009891197,0.331355094,0,0,0,0,0.3837784372,0.0801186944,0.0929772502,0,0.059347181,0.0298108867,0,0.0025381861,0.0323490728,0.0167498108,0.0028512606,0.0365987328,0.0426772695,0.0561998041
3,0.1747088186,0.0981697171,0.0615640599,0,0.1663893511,0.0332778702,0.1414309484,0.1064891847,0.3494176373,0,0.081530782,0,0.0033333241,0.0050064461,0.0334172202,0.0417569903,0.0106819564,0.0024926103,0.00172757,0.0037799822,0.0149021367
4,0.1349206349,0.1177248677,0.1203703704,0.0171957672,0.2989417989,0,0.0092592593,0,0.2605820106,0.126984127,0.0185185185,0.2764550265,8.57338818587106E-05,0.0288946511,0.0147013195,0.0436817045,0.0073608662,0.0050116411,0.0038008688,0.0239897399,0.0161733761
5,0.008984726,0.0004492363,0.115902965,0.3288409704,0.4537286613,0.0004492363,0,0,0.0071877808,0.260557053,0,0.0489667565,0.004138988,0.0685553562,0.0220229384,0.0947172825,0.0661998592,0.0225520254,0.0044778324,0.0314772838,0.093229717
6,0.3305084746,0,0.0322033898,0.0915254237,0.7033898305,0.0389830508,0.0016949153,0,0.0847457627,0.0559322034,0.0677966102,0,0.0332098056,0.155867088,0.0002097099,0.1892866035,0.0970267165,0.0008225606,0.0010945131,0.0027923011,0.0989437901
