,U1Trans,U1Rot,U1Scale,U1Cam,U2Trans,U2Rot,U2Scale,U2Cam,U3Trans,U3Rot,U3Scale,U3Cam,U4Trans,U4Rot,U4Scale,U4Cam
1,0.0575757576,0,0.1666666667,0,0.4666666667,0,0,0,0,0.2636363636,0,0,0.1121212121,0,0,0.3424242424
2,0.5086206897,0,0,0,0.2284482759,0.1594827586,0,0.0043103448,0.0086206897,0,0.1724137931,0.0862068966,0.0301724138,0.2025862069,0,0.025862069
3,0.12109375,0.1015625,0,0,0.25390625,0.1484375,0.0703125,0.0390625,0.2578125,0,0.015625,0,0.515625,0,0,0
4,0.134502924,0.0019493177,0.0292397661,0,0.0994152047,0.1442495127,0,0.269005848,0.0155945419,0,0.0721247563,0,0.5653021442,0,0,0
,0.00877193,0,0.0504386,0,0.6469298,0,0,0,0.18640351,0,0,0.08114035,0,0.3070175,0,0
