,U1Trans,U1Rot,U1Scale,U1Cam,U2Trans,U2Rot,U2Scale,U2Cam,U3Trans,U3Rot,U3Scale,U3Cam,U4Trans,U4Rot,U4Scale,U4Cam
1,0.1003671971,0.0097919217,0.043247654,0.2317421461,0.1272949816,0.0828233374,0.0053039576,0.0734394125,0.0008159935,0.0620155039,0.0995512036,0.0689514484,0.4887800898,0,0,0.0550795594
2,0.5586034913,0,0.0586034913,0,0.1209476309,0.1159600998,0.0162094763,0,0,0.1558603491,0,0.0748129676,0.0324189526,0.0274314214,0.0635910224,0.0037406484
3,0.0668485675,0.068212824,0.1159618008,0.0381991814,0.1773533424,0.0245566166,0.0559345157,0.105047749,0.0832196453,0,0,0.17053206,0.3478854025,0.1377899045,0.0122783083,0.0259208731
4,0.090862685,0.2006125574,0.0137825421,0.1041347626,0,0.0086778969,0,0.3006636039,0.0290964778,0,0.0811638591,0,0.6237876468,0,0,0
,0.02533715,0.0004086637,0.06702084,0,0.3015938,0.01225991,0.0004086637,0,0.2439722109,0.001225991,0,0.01838987,0,0.50469963,0,0.009399264
