,U1Trans,U1Rot,U1Scale,U1Cam,U2Trans,U2Rot,U2Scale,U2Cam,U3Trans,U3Rot,U3Scale,U3Cam,U4Trans,U4Rot,U4Scale,U4Cam
1,0.1632653061,0.0335747202,0.0335747202,0.0322580645,0.1198156682,0.1092824226,0.017116524,0.1415404872,0.103357472,0.0190915076,0.0882159315,0.1099407505,0.6168531929,0.0006583278,0,0.0934825543
2,0.5662790698,0,0,0,0.2686046512,0,0.0058139535,0,0,0.0720930233,0,0.1511627907,0.0395348837,0.0127906977,0.1104651163,0.0313953488
3,0.0911136108,0.2845894263,0.094488189,0.1091113611,0.2317210349,0.0697412823,0.0292463442,0.1158605174,0.1327334083,0.062992126,0.0359955006,0.235095613,0.0449943757,0,0.031496063,0.0179977503
4,0,0.3869395712,0,0.1052631579,0,0,0,0.3937621832,0.0058479532,0,0.0964912281,0,0.5136452242,0,0,0
,0.004583652,0.0007639419,0.14056532,0,0.3514133,0.02291826,0,0,0.414820474,0.01527884,0,0,0,0.3231474408,0,0
