"","U1Trans","U1Rot","U1Scale","U1Cam","U2Trans","U2Rot","U2Scale","U2Cam"
"1",0.453968253968254,0,0,0,0.257142857142857,0.247619047619048,0.0888888888888889,0.0952380952380952
"2",0,0,0,0,0.332129963898917,0.51985559566787,0.151624548736462,0
"3",0.481171548117155,0.104602510460251,0,0,0.577405857740586,0,0.158995815899582,0
"4",0.309278350515464,0.27319587628866,0.0979381443298969,0.201030927835052,0.458762886597938,0,0,0.22680412371134
"5",0.956140350877193,0,0.043859649122807,0,0,0,0,0
"6",0.012396694214876,0.388429752066116,0.0165289256198347,0.264462809917355,0.582644628099174,0,0.15702479338843,0
"7",0.497685185185185,0.108796296296296,0.0601851851851852,0,0.0972222222222222,0.173611111111111,0,0.185185185185185
